Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a64fd0>,0,0.01,0.765,0.8668555240793201,200,0.09320497512817383
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65d20>,1,0.01,0.78,0.8764044943820225,200,0.08783531188964844
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65990>,2,0.01,0.78,0.8764044943820225,200,0.05696725845336914
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65840>,3,0.01,0.79,0.8826815642458101,200,0.05273270606994629
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a652d0>,4,0.01,0.775,0.8732394366197184,200,0.05777287483215332
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a64d90>,5,0.01,0.77,0.8700564971751412,200,0.05777931213378906
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a64e50>,6,0.01,0.8,0.888888888888889,200,0.06294512748718262
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65b10>,7,0.01,0.805,0.89196675900277,200,0.06269264221191406
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65510>,8,0.01,0.75,0.8571428571428571,200,0.07100963592529297
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a656c0>,9,0.01,0.79,0.8826815642458101,200,0.09700322151184082
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65a80>,0,0.02,0.79,0.8826815642458101,200,0.07348942756652832
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66080>,1,0.02,0.77,0.8700564971751412,200,0.08318829536437988
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66050>,2,0.02,0.76,0.8636363636363636,200,0.09908652305603027
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65f60>,3,0.02,0.79,0.8826815642458101,200,0.1025850772857666
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65ff0>,4,0.02,0.775,0.8732394366197184,200,0.05135679244995117
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65f30>,5,0.02,0.785,0.8795518207282913,200,0.07989287376403809
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65ea0>,6,0.02,0.77,0.8700564971751412,200,0.11065411567687988
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66170>,7,0.02,0.775,0.8732394366197184,200,0.07227873802185059
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a661a0>,8,0.02,0.76,0.8636363636363636,200,0.07653450965881348
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65750>,9,0.02,0.76,0.8636363636363636,200,0.07766056060791016
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66140>,0,0.03,0.795,0.8857938718662953,200,0.11054563522338867
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66230>,1,0.03,0.795,0.8857938718662953,200,0.06352925300598145
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66260>,2,0.03,0.8,0.888888888888889,200,0.09887099266052246
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a662f0>,3,0.03,0.795,0.8857938718662953,200,0.06301689147949219
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66110>,4,0.03,0.8,0.888888888888889,200,0.07199764251708984
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a660e0>,5,0.03,0.815,0.8980716253443526,200,0.0706632137298584
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66350>,6,0.03,0.785,0.8795518207282913,200,0.0673987865447998
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66380>,7,0.03,0.785,0.8795518207282913,200,0.1499950885772705
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66020>,8,0.03,0.775,0.8732394366197184,200,0.06996488571166992
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66440>,9,0.03,0.765,0.8668555240793201,200,0.09194517135620117
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a662c0>,0,0.04,0.79,0.8826815642458101,200,0.06308722496032715
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66200>,1,0.04,0.765,0.8668555240793201,200,0.17149639129638672
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a664d0>,2,0.04,0.79,0.8826815642458101,200,0.1329965591430664
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66500>,3,0.04,0.815,0.8980716253443526,200,0.11953282356262207
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66320>,4,0.04,0.76,0.8636363636363636,200,0.08158564567565918
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66590>,5,0.04,0.835,0.9100817438692098,200,0.17589187622070312
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a665c0>,6,0.04,0.75,0.8571428571428571,200,0.060369253158569336
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a665f0>,7,0.04,0.82,0.9010989010989011,200,0.08496379852294922
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66560>,8,0.04,0.765,0.8668555240793201,200,0.11875295639038086
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a65fc0>,9,0.04,0.765,0.8668555240793201,200,0.08665227890014648
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66530>,0,0.05,0.805,0.89196675900277,200,0.12147831916809082
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66470>,1,0.05,0.79,0.8826815642458101,200,0.11535906791687012
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a666e0>,2,0.05,0.795,0.8857938718662953,200,0.06974506378173828
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66680>,3,0.05,0.79,0.8826815642458101,200,0.06223320960998535
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66770>,4,0.05,0.745,0.8538681948424068,200,0.07210254669189453
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a667a0>,5,0.05,0.8,0.888888888888889,200,0.09272909164428711
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a667d0>,6,0.05,0.795,0.8857938718662953,200,0.10519790649414062
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66800>,7,0.05,0.8,0.888888888888889,200,0.13328814506530762
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66830>,8,0.05,0.805,0.89196675900277,200,0.06946372985839844
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66860>,9,0.05,0.79,0.8826815642458101,200,0.08485269546508789
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66890>,0,0.1,0.765,0.8668555240793201,200,0.0930473804473877
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a668c0>,1,0.1,0.785,0.8795518207282913,200,0.12337851524353027
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a668f0>,2,0.1,0.825,0.9041095890410958,200,0.1264054775238037
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66920>,3,0.1,0.765,0.8668555240793201,200,0.19938254356384277
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66950>,4,0.1,0.86,0.924731182795699,200,0.12124800682067871
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66980>,5,0.1,0.78,0.8764044943820225,200,0.12542080879211426
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a669b0>,6,0.1,0.79,0.8826815642458101,200,0.15552473068237305
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a669e0>,7,0.1,0.8247422680412371,0.903954802259887,194,0.24346303939819336
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66a10>,8,0.1,0.8,0.888888888888889,200,0.15432333946228027
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66a40>,9,0.1,0.81,0.8950276243093923,200,0.09802365303039551
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66a70>,0,0.15,0.81,0.8950276243093923,200,0.2912411689758301
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66aa0>,1,0.15,0.815,0.8980716253443526,200,0.15732550621032715
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66ad0>,2,0.15,0.815,0.8980716253443526,200,0.18923521041870117
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66b00>,3,0.15,0.785,0.8795518207282913,200,0.16494226455688477
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66b30>,4,0.15,0.83,0.9071038251366119,200,0.4015388488769531
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66b60>,5,0.15,0.825,0.9041095890410958,200,0.24824261665344238
<Algoritmos.CCRNE.CCRNE object at 0x7f9cc3a66b90>,6,0.15,0.82,0.9010989010989011,200,0.5071139335632324
