Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283c220>,0,0.01,0.855,0.921832884097035,200,0.043512821197509766
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283c1f0>,1,0.01,0.86,0.924731182795699,200,0.06233930587768555
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f9a0>,2,0.01,0.875,0.9333333333333333,200,0.043149709701538086
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283cbe0>,3,0.01,0.875,0.9333333333333333,200,0.04543590545654297
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283c1c0>,4,0.01,0.83,0.9071038251366119,200,0.05735468864440918
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f8e0>,5,0.01,0.835,0.9100817438692098,200,0.059387922286987305
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f850>,6,0.01,0.875,0.9333333333333333,200,0.04315805435180664
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283fa30>,7,0.01,0.86,0.924731182795699,200,0.058025360107421875
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283ca60>,8,0.01,0.85,0.9189189189189189,200,0.0468294620513916
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283caf0>,9,0.01,0.875,0.9333333333333333,200,0.042749881744384766
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283fa00>,0,0.02,0.85,0.9189189189189189,200,0.05119037628173828
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f9d0>,1,0.02,0.845,0.9159891598915989,200,0.06709051132202148
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f6d0>,2,0.02,0.83,0.9071038251366119,200,0.05508089065551758
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f6a0>,3,0.02,0.83,0.9071038251366119,200,0.06707358360290527
<Algoritmos.CCRNE.CCRNE object at 0x7f4b3283f670>,4,0.02,0.875,0.9333333333333333,200,0.0633852481842041
