Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625F3A90>,0,0.01,0.785,0.8795518207282913,200,0.2050464153289795
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625F9990>,1,0.01,0.78,0.8764044943820225,200,0.20804786682128906
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001806267B890>,2,0.01,0.78,0.8764044943820225,200,0.19704484939575195
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001806267AA10>,3,0.01,0.79,0.8826815642458101,200,0.21004748344421387
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8050>,4,0.01,0.78,0.8764044943820225,200,0.198045015335083
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8350>,5,0.01,0.78,0.8764044943820225,200,0.19704484939575195
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8A10>,6,0.01,0.78,0.8764044943820225,200,0.20104551315307617
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8450>,7,0.01,0.78,0.8764044943820225,200,0.19504380226135254
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8650>,8,0.01,0.78,0.8764044943820225,200,0.20204567909240723
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8510>,9,0.01,0.78,0.8764044943820225,200,0.19704532623291016
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB82D0>,0,0.02,0.78,0.8764044943820225,200,0.2050466537475586
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB83D0>,1,0.02,0.78,0.8764044943820225,200,0.19304347038269043
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB80D0>,2,0.02,0.78,0.8764044943820225,200,0.20104598999023438
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8150>,3,0.02,0.78,0.8764044943820225,200,0.20204496383666992
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085290>,4,0.02,0.79,0.8826815642458101,200,0.19704461097717285
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180060852D0>,5,0.02,0.785,0.8795518207282913,200,0.21204805374145508
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085510>,6,0.02,0.78,0.8764044943820225,200,0.18804287910461426
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085410>,7,0.02,0.78,0.8764044943820225,200,0.20804715156555176
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085450>,8,0.02,0.78,0.8764044943820225,200,0.1940445899963379
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085210>,9,0.02,0.78,0.8764044943820225,200,0.1960439682006836
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085390>,0,0.03,0.785,0.8795518207282913,200,0.1870429515838623
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085490>,1,0.03,0.78,0.8764044943820225,200,0.19704461097717285
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085590>,2,0.03,0.78,0.8764044943820225,200,0.19704413414001465
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085610>,3,0.03,0.78,0.8764044943820225,200,0.20904827117919922
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180060856D0>,4,0.03,0.785,0.8795518207282913,200,0.19904470443725586
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085790>,5,0.03,0.78,0.8764044943820225,200,0.20304584503173828
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085850>,6,0.03,0.78,0.8764044943820225,200,0.2630593776702881
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001806267BC50>,7,0.03,0.795,0.8857938718662953,200,0.19504404067993164
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB9AD0>,8,0.03,0.78,0.8764044943820225,200,0.2090473175048828
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB9490>,9,0.03,0.78,0.8764044943820225,200,0.2070465087890625
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8F10>,0,0.04,0.78,0.8764044943820225,200,0.22605133056640625
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8FD0>,1,0.04,0.78,0.8764044943820225,200,0.1960446834564209
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8CD0>,2,0.04,0.805,0.89196675900277,200,0.2070469856262207
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8D50>,3,0.04,0.78,0.8764044943820225,200,0.20604705810546875
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8B90>,4,0.04,0.78,0.8764044943820225,200,0.19504427909851074
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8A90>,5,0.04,0.79,0.8826815642458101,200,0.20804667472839355
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018005FB8090>,6,0.04,0.78,0.8764044943820225,200,0.1980452537536621
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018023E84F10>,7,0.04,0.78,0.8764044943820225,200,0.20404648780822754
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625D24D0>,8,0.04,0.78,0.8764044943820225,200,0.198045015335083
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625F9790>,9,0.04,0.78,0.8764044943820225,200,0.19204330444335938
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625F99D0>,0,0.05,0.785,0.8795518207282913,200,0.18904328346252441
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625FAC50>,1,0.05,0.78,0.8764044943820225,200,0.19904494285583496
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625FA2D0>,2,0.05,0.785,0.8795518207282913,200,0.207047700881958
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625F3A10>,3,0.05,0.8,0.888888888888889,200,0.1980452537536621
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180625F1090>,4,0.05,0.79,0.8826815642458101,200,0.20304536819458008
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180624E67D0>,5,0.05,0.785,0.8795518207282913,200,0.19304394721984863
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085910>,6,0.05,0.805,0.89196675900277,200,0.21004772186279297
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085CD0>,7,0.05,0.785,0.8795518207282913,200,0.1980447769165039
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006085E90>,8,0.05,0.785,0.8795518207282913,200,0.19704508781433105
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086150>,9,0.05,0.79,0.8826815642458101,200,0.1980445384979248
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086290>,0,0.1,0.8,0.888888888888889,200,0.20404648780822754
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180060861D0>,1,0.1,0.78,0.8764044943820225,200,0.2070467472076416
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180060862D0>,2,0.1,0.81,0.8950276243093923,200,0.19504451751708984
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086390>,3,0.1,0.815,0.8980716253443526,200,0.19204282760620117
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086550>,4,0.1,0.79,0.8826815642458101,200,0.20104479789733887
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086690>,5,0.1,0.785,0.8795518207282913,200,0.1980447769165039
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000180060867D0>,6,0.1,0.785,0.8795518207282913,200,0.19704580307006836
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086910>,7,0.1,0.795,0.8857938718662953,200,0.18804216384887695
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086A50>,8,0.1,0.8,0.888888888888889,200,0.2070465087890625
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086B90>,9,0.1,0.78,0.8764044943820225,200,0.20304632186889648
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086ED0>,0,0.15,0.805,0.89196675900277,200,0.20204591751098633
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000018006086E90>,1,0.15,0.8,0.888888888888889,200,0.19204354286193848
