Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
LP_PUL,0,0.01,0.84,0.9130434782608696,50,0.016233444213867188
CCRNE,0,0.01,0.5,0.6666666666666666,50,0.007976293563842773
AE_PUL,0,0.01,0.18,0.3050847457627119,50,0.03155326843261719
GAE_PUL1,0,0.01,0.16,0.2758620689655173,50,0.026610136032104492
GAE_PUL2,0,0.01,0.14,0.24561403508771928,50,0.026020526885986328
GAE_PUL3,0,0.01,0.18,0.3050847457627119,50,0.027340173721313477
MCLS,0,0.01,0.78,0.8764044943820225,50,0.33521437644958496
PU_LP,0,0.01,0.5,0.6666666666666666,50,0.21812820434570312
RCSVM_RN,0,0.01,0.5,0.6666666666666666,50,0.012649297714233398
LP_PUL,0,0.02,0.96,0.9795918367346939,50,0.015412569046020508
CCRNE,0,0.02,0.38,0.5507246376811594,50,0.008941411972045898
AE_PUL,0,0.02,0.34,0.5074626865671642,50,0.012733936309814453
GAE_PUL1,0,0.02,0.34,0.5074626865671642,50,0.018126487731933594
GAE_PUL2,0,0.02,0.36,0.5294117647058824,50,0.017808914184570312
GAE_PUL3,0,0.02,0.34,0.5074626865671642,50,0.019069671630859375
MCLS,0,0.02,0.84,0.9130434782608696,50,0.632993221282959
PU_LP,0,0.02,0.4,0.5714285714285715,50,0.16774654388427734
RCSVM_RN,0,0.02,0.38,0.5507246376811594,50,0.008006572723388672
LP_PUL,0,0.03,0.9,0.9473684210526316,50,0.030434131622314453
CCRNE,0,0.03,0.66,0.7951807228915663,50,0.009580850601196289
AE_PUL,0,0.03,0.48,0.6486486486486487,50,0.013146400451660156
GAE_PUL1,0,0.03,0.46,0.6301369863013699,50,0.020880937576293945
GAE_PUL2,0,0.03,0.48,0.6486486486486487,50,0.02095818519592285
GAE_PUL3,0,0.03,0.44,0.6111111111111112,50,0.021922588348388672
MCLS,0,0.03,0.72,0.8372093023255813,50,0.5654311180114746
PU_LP,0,0.03,0.66,0.7951807228915663,50,0.16700029373168945
RCSVM_RN,0,0.03,0.66,0.7951807228915663,50,0.008706092834472656
LP_PUL,0,0.04,0.98,0.98989898989899,50,0.035265445709228516
CCRNE,0,0.04,0.84,0.9130434782608696,50,0.011698484420776367
AE_PUL,0,0.04,0.86,0.924731182795699,50,0.010132074356079102
GAE_PUL1,0,0.04,0.82,0.9010989010989011,50,0.01832294464111328
GAE_PUL2,0,0.04,0.84,0.9130434782608696,50,0.01844191551208496
GAE_PUL3,0,0.04,0.84,0.9130434782608696,50,0.01915884017944336
MCLS,0,0.04,0.86,0.924731182795699,50,0.7268292903900146
PU_LP,0,0.04,0.84,0.9130434782608696,50,0.11242365837097168
RCSVM_RN,0,0.04,0.84,0.9130434782608696,50,0.013707637786865234
LP_PUL,0,0.05,0.9,0.9473684210526316,50,0.05372166633605957
CCRNE,0,0.05,0.68,0.8095238095238095,50,0.011571645736694336
AE_PUL,0,0.05,0.38,0.5507246376811594,50,0.012160301208496094
GAE_PUL1,0,0.05,0.38,0.5507246376811594,50,0.019578933715820312
GAE_PUL2,0,0.05,0.38,0.5507246376811594,50,0.018779516220092773
GAE_PUL3,0,0.05,0.38,0.5507246376811594,50,0.025104761123657227
MCLS,0,0.05,0.78,0.8764044943820225,50,0.6972784996032715
PU_LP,0,0.05,0.72,0.8372093023255813,50,0.17007064819335938
RCSVM_RN,0,0.05,0.68,0.8095238095238095,50,0.009790182113647461
LP_PUL,0,0.1,0.98,0.98989898989899,50,0.07462430000305176
CCRNE,0,0.1,0.52,0.6842105263157895,50,0.008472919464111328
AE_PUL,0,0.1,0.54,0.7012987012987013,50,0.010793924331665039
GAE_PUL1,0,0.1,0.54,0.7012987012987013,50,0.018838167190551758
GAE_PUL2,0,0.1,0.52,0.6842105263157895,50,0.01896810531616211
GAE_PUL3,0,0.1,0.54,0.7012987012987013,50,0.020076274871826172
MCLS,0,0.1,0.72,0.8372093023255813,50,0.5969362258911133
PU_LP,0,0.1,0.52,0.6842105263157895,50,0.15751290321350098
RCSVM_RN,0,0.1,0.52,0.6842105263157895,50,0.005936384201049805
LP_PUL,0,0.15,0.9,0.9473684210526316,50,0.09372234344482422
CCRNE,0,0.15,0.46,0.6301369863013699,50,0.008641719818115234
AE_PUL,0,0.15,0.46,0.6301369863013699,50,0.010350704193115234
GAE_PUL1,0,0.15,0.46,0.6301369863013699,50,0.018263816833496094
GAE_PUL2,0,0.15,0.48,0.6486486486486487,50,0.018944501876831055
GAE_PUL3,0,0.15,0.48,0.6486486486486487,50,0.017871618270874023
MCLS,0,0.15,0.78,0.8764044943820225,50,0.5869240760803223
PU_LP,0,0.15,0.46,0.6301369863013699,50,0.14667510986328125
RCSVM_RN,0,0.15,0.46,0.6301369863013699,50,0.004990577697753906
LP_PUL,0,0.2,1.0,1.0,50,0.13580322265625
CCRNE,0,0.2,0.56,0.717948717948718,50,0.010790586471557617
AE_PUL,0,0.2,0.48,0.6486486486486487,50,0.009386777877807617
GAE_PUL1,0,0.2,0.5,0.6666666666666666,50,0.017006635665893555
GAE_PUL2,0,0.2,0.5,0.6666666666666666,50,0.019019365310668945
GAE_PUL3,0,0.2,0.5,0.6666666666666666,50,0.017906904220581055
MCLS,0,0.2,0.78,0.8764044943820225,50,0.6204438209533691
PU_LP,0,0.2,0.56,0.717948717948718,50,0.10720014572143555
RCSVM_RN,0,0.2,0.56,0.717948717948718,50,0.04321599006652832
LP_PUL,0,0.25,0.98,0.98989898989899,50,0.15748882293701172
