Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7760>,0,0.01,0.54,0.7012987012987013,50,0.011576652526855469
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7b20>,1,0.01,0.54,0.7012987012987013,50,0.012292623519897461
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7fd0>,2,0.01,0.54,0.7012987012987013,50,0.011115312576293945
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7fa0>,3,0.01,0.52,0.6842105263157895,50,0.015716552734375
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7b80>,4,0.01,0.56,0.717948717948718,50,0.012908935546875
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba6f80>,5,0.01,0.54,0.7012987012987013,50,0.014999151229858398
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba74c0>,6,0.01,0.48,0.6486486486486487,50,0.01481938362121582
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7790>,7,0.01,0.44,0.6111111111111112,50,0.011310577392578125
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7e80>,8,0.01,0.52,0.6842105263157895,50,0.014627218246459961
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7bb0>,9,0.01,0.52,0.6842105263157895,50,0.014628410339355469
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7730>,0,0.02,0.5,0.6666666666666666,50,0.014853954315185547
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7c70>,1,0.02,0.56,0.717948717948718,50,0.010198831558227539
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7970>,2,0.02,0.58,0.7341772151898733,50,0.012679338455200195
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7cd0>,3,0.02,0.58,0.7341772151898733,50,0.012478828430175781
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba6980>,4,0.02,0.48,0.6486486486486487,50,0.010151863098144531
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba79d0>,5,0.02,0.6,0.7499999999999999,50,0.01171565055847168
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba7550>,6,0.02,0.46,0.6301369863013699,50,0.012293100357055664
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd76a0>,7,0.02,0.6,0.7499999999999999,50,0.012592792510986328
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7040>,8,0.02,0.54,0.7012987012987013,50,0.012530326843261719
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd50f0>,9,0.02,0.6,0.7499999999999999,50,0.013605356216430664
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71ba74f0>,0,0.03,0.34,0.5074626865671642,50,0.01099848747253418
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd5ea0>,1,0.03,0.72,0.8372093023255813,50,0.010469436645507812
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd4070>,2,0.03,0.54,0.7012987012987013,50,0.010387659072875977
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7070>,3,0.03,0.64,0.7804878048780487,50,0.009584426879882812
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd4a30>,4,0.03,0.54,0.7012987012987013,50,0.012260198593139648
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd4a00>,5,0.03,0.62,0.7654320987654321,50,0.010864019393920898
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd6b90>,6,0.03,0.52,0.6842105263157895,50,0.012835264205932617
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd6290>,7,0.03,0.4,0.5714285714285715,50,0.009994029998779297
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd6350>,8,0.03,0.68,0.8095238095238095,50,0.014737367630004883
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7c40>,9,0.03,0.46,0.6301369863013699,50,0.011237144470214844
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd5ba0>,0,0.04,0.52,0.6842105263157895,50,0.010828256607055664
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd5ed0>,1,0.04,0.46,0.6301369863013699,50,0.010923624038696289
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd61a0>,2,0.04,0.58,0.7341772151898733,50,0.01146841049194336
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7a60>,3,0.04,0.66,0.7951807228915663,50,0.01021885871887207
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7790>,4,0.04,0.58,0.7341772151898733,50,0.011614561080932617
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7580>,5,0.04,0.54,0.7012987012987013,50,0.010976314544677734
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7160>,6,0.04,0.54,0.7012987012987013,50,0.013449668884277344
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7520>,7,0.04,0.46,0.6301369863013699,50,0.011061668395996094
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7760>,8,0.04,0.56,0.717948717948718,50,0.01032114028930664
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd62c0>,9,0.04,0.34,0.5074626865671642,50,0.010737180709838867
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7a00>,0,0.05,0.54,0.7012987012987013,50,0.011543512344360352
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71bd7c70>,1,0.05,0.6,0.7499999999999999,50,0.014616966247558594
