Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.MCLS.MCLS object at 0x0000028A94BAC250>,0,0.01,0.24,0.3870967741935484,50,0.060013532638549805
<Algoritmos.MCLS.MCLS object at 0x0000028A94B98F50>,1,0.01,0.78,0.8764044943820225,50,0.06601476669311523
<Algoritmos.MCLS.MCLS object at 0x0000028A94BBECD0>,2,0.01,0.78,0.8764044943820225,50,0.06401443481445312
<Algoritmos.MCLS.MCLS object at 0x0000028A94BBFB50>,3,0.01,0.78,0.8764044943820225,50,0.06401467323303223
<Algoritmos.MCLS.MCLS object at 0x0000028A94BC7190>,4,0.01,0.78,0.8764044943820225,50,0.09602212905883789
<Algoritmos.MCLS.MCLS object at 0x0000028A94BC7B50>,5,0.01,0.78,0.8764044943820225,50,0.06701540946960449
<Algoritmos.MCLS.MCLS object at 0x0000028A94BA8A10>,6,0.01,0.26,0.41269841269841273,50,0.06101369857788086
<Algoritmos.MCLS.MCLS object at 0x0000028A94BB7C50>,7,0.01,0.24,0.3870967741935484,50,0.07001543045043945
<Algoritmos.MCLS.MCLS object at 0x0000028A94BAAF10>,8,0.01,0.24,0.3870967741935484,50,0.060013532638549805
<Algoritmos.MCLS.MCLS object at 0x0000028A94BBF8D0>,9,0.01,0.24,0.3870967741935484,50,0.07101607322692871
<Algoritmos.MCLS.MCLS object at 0x0000028A94BAAC90>,0,0.02,0.7,0.8235294117647058,50,0.06301450729370117
<Algoritmos.MCLS.MCLS object at 0x0000028A94BB6B50>,1,0.02,0.52,0.6842105263157895,50,0.06301450729370117
<Algoritmos.MCLS.MCLS object at 0x0000028A94BAA710>,2,0.02,0.7,0.8235294117647058,50,0.060013532638549805
<Algoritmos.MCLS.MCLS object at 0x0000028A930F2D90>,3,0.02,0.24,0.3870967741935484,50,0.07201647758483887
<Algoritmos.MCLS.MCLS object at 0x0000028A94BBFA90>,4,0.02,0.78,0.8764044943820225,50,0.06501483917236328
<Algoritmos.MCLS.MCLS object at 0x0000028A94BBC7D0>,5,0.02,0.78,0.8764044943820225,50,0.06401443481445312
<Algoritmos.MCLS.MCLS object at 0x0000028A94BB7110>,6,0.02,0.78,0.8764044943820225,50,0.06401443481445312
