Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1cf0>,0,0.01,0.5,0.6666666666666666,50,0.14749479293823242
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2260>,1,0.01,0.5,0.6666666666666666,50,0.14971590042114258
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd20e0>,2,0.01,0.5,0.6666666666666666,50,0.1440291404724121
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd22c0>,3,0.01,0.5,0.6666666666666666,50,0.16992807388305664
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1ea0>,4,0.01,0.5,0.6666666666666666,50,0.1506946086883545
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1d80>,5,0.01,0.5,0.6666666666666666,50,0.21741199493408203
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2290>,6,0.01,0.5,0.6666666666666666,50,0.24982261657714844
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1ed0>,7,0.01,0.5,0.6666666666666666,50,0.1794743537902832
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd20b0>,8,0.01,0.5,0.6666666666666666,50,0.15380072593688965
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2080>,9,0.01,0.5,0.6666666666666666,50,0.17212820053100586
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1e10>,0,0.02,0.5,0.6666666666666666,50,0.17832517623901367
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd25f0>,1,0.02,0.5,0.6666666666666666,50,0.1753077507019043
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1b70>,2,0.02,0.5,0.6666666666666666,50,0.154510498046875
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd23b0>,3,0.02,0.5,0.6666666666666666,50,0.1632986068725586
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd21d0>,4,0.02,0.52,0.6842105263157895,50,0.1929798126220703
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd24a0>,5,0.02,0.5,0.6666666666666666,50,0.16431188583374023
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1d20>,6,0.02,0.5,0.6666666666666666,50,0.15894865989685059
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd19c0>,7,0.02,0.5,0.6666666666666666,50,0.20154404640197754
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd21a0>,8,0.02,0.5,0.6666666666666666,50,0.17362689971923828
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd24d0>,9,0.02,0.5,0.6666666666666666,50,0.15983963012695312
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1960>,0,0.03,0.5,0.6666666666666666,50,0.17800521850585938
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2830>,1,0.03,0.52,0.6842105263157895,50,0.16520190238952637
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2320>,2,0.03,0.5,0.6666666666666666,50,0.161041259765625
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd18d0>,3,0.03,0.5,0.6666666666666666,50,0.16875457763671875
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2380>,4,0.03,0.5,0.6666666666666666,50,0.18660879135131836
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1b10>,5,0.03,0.5,0.6666666666666666,50,0.17844605445861816
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd26e0>,6,0.03,0.52,0.6842105263157895,50,0.15659832954406738
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1ba0>,7,0.03,0.5,0.6666666666666666,50,0.15436530113220215
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1900>,8,0.03,0.5,0.6666666666666666,50,0.1585392951965332
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1a50>,9,0.03,0.5,0.6666666666666666,50,0.1536242961883545
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd22f0>,0,0.04,0.5,0.6666666666666666,50,0.15997004508972168
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd26b0>,1,0.04,0.5,0.6666666666666666,50,0.1514887809753418
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1c60>,2,0.04,0.5,0.6666666666666666,50,0.16250157356262207
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1b40>,3,0.04,0.5,0.6666666666666666,50,0.17970657348632812
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1de0>,4,0.04,0.52,0.6842105263157895,50,0.17844033241271973
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2770>,5,0.04,0.5,0.6666666666666666,50,0.18307209014892578
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd2350>,6,0.04,0.5,0.6666666666666666,50,0.16221141815185547
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411dc90>,7,0.04,0.5,0.6666666666666666,50,0.16016435623168945
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411dae0>,8,0.04,0.5,0.6666666666666666,50,0.17934131622314453
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f3a0>,9,0.04,0.5,0.6666666666666666,50,0.15294766426086426
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59bd1bd0>,0,0.05,0.5,0.6666666666666666,50,0.1564178466796875
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f8b0>,1,0.05,0.5,0.6666666666666666,50,0.1623847484588623
