Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
LP_PUL,0,0.01,0.9,0.9473684210526316,200,3.559998035430908
CCRNE,0,0.01,0.56,0.717948717948718,200,0.10834574699401855
AE_PUL,0,0.01,0.935,0.9664082687338501,200,0.22815704345703125
GAE_PUL1,0,0.01,0.9,0.9473684210526316,200,0.21855998039245605
GAE_PUL2,0,0.01,0.905,0.9501312335958005,200,0.21581149101257324
GAE_PUL3,0,0.01,0.92,0.9583333333333334,200,0.2187824249267578
MCLS,0,0.01,0.87,0.9304812834224598,200,1.7346911430358887
PU_LP,0,0.01,0.675,0.8059701492537313,200,11.617300510406494
RCSVM_RN,0,0.01,,0.0,0,0.05515313148498535
LP_PUL,0,0.02,0.985,0.9924433249370278,200,5.500892162322998
CCRNE,0,0.02,0.555,0.7138263665594855,200,0.0776674747467041
AE_PUL,0,0.02,0.91,0.9528795811518325,200,0.17673182487487793
GAE_PUL1,0,0.02,0.86,0.924731182795699,200,0.2041947841644287
GAE_PUL2,0,0.02,0.865,0.9276139410187667,200,0.20201969146728516
GAE_PUL3,0,0.02,0.895,0.9445910290237467,200,0.19922733306884766
MCLS,0,0.02,0.79,0.8826815642458101,200,1.5975799560546875
PU_LP,0,0.02,0.68,0.8095238095238095,200,11.467664003372192
RCSVM_RN,0,0.02,,0.0,0,0.04013395309448242
LP_PUL,0,0.03,0.975,0.9873417721518987,200,7.121180534362793
CCRNE,0,0.03,0.56,0.717948717948718,200,0.10414600372314453
AE_PUL,0,0.03,0.865,0.9276139410187667,200,0.1768655776977539
GAE_PUL1,0,0.03,0.795,0.8857938718662953,200,0.20576977729797363
GAE_PUL2,0,0.03,0.75,0.8571428571428571,200,0.20691156387329102
GAE_PUL3,0,0.03,0.835,0.9100817438692098,200,0.20991301536560059
MCLS,0,0.03,0.46,0.6301369863013699,200,1.6101136207580566
PU_LP,0,0.03,0.62,0.7654320987654321,200,11.570638656616211
RCSVM_RN,0,0.03,,0.0,0,0.049820899963378906
LP_PUL,0,0.04,0.985,0.9924433249370278,200,9.254996299743652
CCRNE,0,0.04,0.545,0.7055016181229774,200,0.08678984642028809
AE_PUL,0,0.04,0.865,0.9276139410187667,200,0.18882250785827637
GAE_PUL1,0,0.04,0.82,0.9010989010989011,200,0.21483063697814941
GAE_PUL2,0,0.04,0.77,0.8700564971751412,200,0.21094655990600586
GAE_PUL3,0,0.04,0.85,0.9189189189189189,200,0.21199607849121094
MCLS,0,0.04,0.85,0.9189189189189189,200,1.7720439434051514
PU_LP,0,0.04,0.565,0.7220447284345047,200,11.730833053588867
RCSVM_RN,0,0.04,,0.0,0,0.05148124694824219
LP_PUL,0,0.05,0.97,0.9847715736040609,200,10.097689628601074
CCRNE,0,0.05,0.57,0.7261146496815287,200,0.10229897499084473
AE_PUL,0,0.05,0.85,0.9189189189189189,200,0.21203827857971191
GAE_PUL1,0,0.05,0.8,0.888888888888889,200,0.19999957084655762
GAE_PUL2,0,0.05,0.82,0.9010989010989011,200,0.20337486267089844
GAE_PUL3,0,0.05,0.855,0.921832884097035,200,0.20130085945129395
MCLS,0,0.05,0.88,0.9361702127659575,200,1.7300605773925781
