Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717249d0>,0,0.01,0.535,0.6970684039087948,200,0.1154935359954834
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71725e40>,1,0.01,0.495,0.6622073578595317,200,0.09092140197753906
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71726a70>,2,0.01,0.505,0.6710963455149502,200,0.094940185546875
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727640>,3,0.01,0.55,0.7096774193548387,200,0.08770990371704102
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717243a0>,4,0.01,0.5,0.6666666666666666,200,0.08754134178161621
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724ac0>,5,0.01,0.49,0.6577181208053691,200,0.09496712684631348
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724f40>,6,0.01,0.56,0.717948717948718,200,0.10851764678955078
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727010>,7,0.01,0.495,0.6622073578595317,200,0.09224247932434082
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724280>,8,0.01,0.545,0.7055016181229774,200,0.09174799919128418
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717252a0>,9,0.01,0.545,0.7055016181229774,200,0.13126349449157715
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727070>,0,0.02,0.52,0.6842105263157895,200,0.11895608901977539
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724e80>,1,0.02,0.475,0.6440677966101694,200,0.09331440925598145
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724be0>,2,0.02,0.575,0.7301587301587301,200,0.09175801277160645
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717274f0>,3,0.02,0.52,0.6842105263157895,200,0.12136220932006836
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727c70>,4,0.02,0.535,0.6970684039087948,200,0.1302778720855713
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724040>,5,0.02,0.525,0.6885245901639345,200,0.13059687614440918
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724190>,6,0.02,0.55,0.7096774193548387,200,0.09319877624511719
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727af0>,7,0.02,0.525,0.6885245901639345,200,0.1201784610748291
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727760>,8,0.02,0.59,0.7421383647798743,200,0.10108757019042969
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71726d70>,9,0.02,0.51,0.6754966887417219,200,0.09168577194213867
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724cd0>,0,0.03,0.53,0.6928104575163399,200,0.09755825996398926
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71726080>,1,0.03,0.53,0.6928104575163399,200,0.09620237350463867
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727bb0>,2,0.03,0.545,0.7055016181229774,200,0.12457418441772461
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727220>,3,0.03,0.56,0.717948717948718,200,0.1253046989440918
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717263b0>,4,0.03,0.56,0.717948717948718,200,0.09637665748596191
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71725690>,5,0.03,0.56,0.717948717948718,200,0.10202670097351074
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717256f0>,6,0.03,0.52,0.6842105263157895,200,0.0961461067199707
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71724820>,7,0.03,0.52,0.6842105263157895,200,0.10018444061279297
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71725cc0>,8,0.03,0.555,0.7138263665594855,200,0.12891411781311035
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717265f0>,9,0.03,0.54,0.7012987012987013,200,0.09334111213684082
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71726bc0>,0,0.04,0.55,0.7096774193548387,200,0.10561823844909668
<Algoritmos.CCRNE.CCRNE object at 0x7f9b717261a0>,1,0.04,0.555,0.7138263665594855,200,0.10082578659057617
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71727580>,2,0.04,0.515,0.6798679867986799,200,0.09898972511291504
<Algoritmos.CCRNE.CCRNE object at 0x7f9b71726d10>,3,0.04,0.565,0.7220447284345047,200,0.09756660461425781
