Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f5b0>,0,0.01,0.68,0.8095238095238095,200,5.5028746128082275
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411dcf0>,1,0.01,0.74,0.8505747126436781,200,5.853882312774658
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ce50>,2,0.01,0.845,0.9159891598915989,200,6.2604005336761475
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f280>,3,0.01,0.6,0.7499999999999999,200,6.268136739730835
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e530>,4,0.01,0.82,0.9010989010989011,200,6.607647895812988
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c280>,5,0.01,0.72,0.8372093023255813,200,6.517196178436279
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411efb0>,6,0.01,0.665,0.7987987987987988,200,6.335578918457031
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f460>,7,0.01,0.805,0.89196675900277,200,6.374384164810181
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ead0>,8,0.01,0.71,0.8304093567251462,200,6.081779479980469
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ded0>,9,0.01,0.805,0.89196675900277,200,6.7543785572052
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d090>,0,0.02,0.78,0.8764044943820225,200,12.274704456329346
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411df30>,1,0.02,0.58,0.7341772151898733,200,12.202808618545532
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411cee0>,2,0.02,0.84,0.9130434782608696,200,11.891056299209595
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411cd60>,3,0.02,0.505,0.6710963455149502,200,12.690624713897705
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411cb80>,4,0.02,0.87,0.9304812834224598,200,12.82741379737854
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e680>,5,0.02,0.7,0.8235294117647058,200,12.385733127593994
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c5b0>,6,0.02,0.88,0.9361702127659575,200,12.670441389083862
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e650>,7,0.02,0.73,0.8439306358381503,200,12.175105333328247
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411cd00>,8,0.02,0.635,0.7767584097859327,200,12.536880731582642
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e890>,9,0.02,0.85,0.9189189189189189,200,13.10569953918457
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411fbe0>,0,0.03,0.765,0.8668555240793201,200,17.773273944854736
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c610>,1,0.03,0.82,0.9010989010989011,200,18.74181342124939
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411fb20>,2,0.03,0.6,0.7499999999999999,200,18.228447198867798
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f190>,3,0.03,0.755,0.8603988603988605,200,18.957419395446777
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d420>,4,0.03,0.86,0.924731182795699,200,19.289140701293945
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c490>,5,0.03,0.87,0.9304812834224598,200,19.17284607887268
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e7a0>,6,0.03,0.885,0.9389920424403183,200,19.071153163909912
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d4e0>,7,0.03,0.795,0.8857938718662953,200,18.578845500946045
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ecb0>,8,0.03,0.87,0.9304812834224598,200,18.737186908721924
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f040>,9,0.03,0.67,0.8023952095808384,200,18.300002336502075
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411caf0>,0,0.04,0.835,0.9100817438692098,200,24.20101571083069
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e3b0>,1,0.04,0.81,0.8950276243093923,200,24.328640460968018
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e290>,2,0.04,0.85,0.9189189189189189,200,24.934589385986328
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c130>,3,0.04,0.63,0.7730061349693252,200,24.40660548210144
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e800>,4,0.04,0.89,0.9417989417989417,200,24.9466335773468
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e9b0>,5,0.04,0.885,0.9389920424403183,200,24.793312311172485
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411fe80>,6,0.04,0.735,0.8472622478386168,200,25.026801586151123
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f4f0>,7,0.04,0.765,0.8668555240793201,200,24.26499032974243
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f580>,8,0.04,0.84,0.9130434782608696,200,24.580984115600586
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c880>,9,0.04,0.8,0.888888888888889,200,24.394941091537476
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c670>,0,0.05,0.78,0.8764044943820225,200,30.944658994674683
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d5a0>,1,0.05,0.815,0.8980716253443526,200,30.3020761013031
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d630>,2,0.05,0.79,0.8826815642458101,200,31.212717533111572
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e110>,3,0.05,0.83,0.9071038251366119,200,30.626574993133545
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c460>,4,0.05,0.73,0.8439306358381503,200,30.452337741851807
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e8f0>,5,0.05,0.735,0.8472622478386168,200,29.26052188873291
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c190>,6,0.05,0.855,0.921832884097035,200,31.74814486503601
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f130>,7,0.05,0.8,0.888888888888889,200,30.885096549987793
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e7d0>,8,0.05,0.805,0.89196675900277,200,30.566343545913696
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411fd60>,9,0.05,0.835,0.9100817438692098,200,30.710443019866943
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e920>,0,0.1,0.8,0.888888888888889,200,58.82794499397278
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ea70>,1,0.1,0.81,0.8950276243093923,200,59.08552956581116
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411cfa0>,2,0.1,0.89,0.9417989417989417,200,61.39763379096985
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411cf70>,3,0.1,0.845,0.9159891598915989,200,60.330657720565796
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411c1f0>,4,0.1,0.805,0.89196675900277,200,60.4668824672699
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f760>,5,0.1,0.845,0.9159891598915989,200,60.07782530784607
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411f370>,6,0.1,0.855,0.921832884097035,200,60.61938118934631
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d900>,7,0.1,0.86,0.924731182795699,200,59.54335808753967
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d930>,8,0.1,0.82,0.9010989010989011,200,60.21324634552002
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ef20>,9,0.1,0.82,0.9010989010989011,200,60.42197608947754
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ce20>,0,0.15,0.85,0.9189189189189189,200,88.05971717834473
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ed10>,1,0.15,0.88,0.9361702127659575,200,88.27668046951294
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e0e0>,2,0.15,0.81,0.8950276243093923,200,88.26658821105957
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411e830>,3,0.15,0.755,0.8603988603988605,200,86.96019315719604
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411ea10>,4,0.15,0.86,0.924731182795699,200,88.10751223564148
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b6411d600>,5,0.15,0.85,0.9189189189189189,200,87.74723839759827
