Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce260>,0,0.01,0.805,0.89196675900277,200,1.6652004718780518
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce530>,1,0.01,0.54,0.7012987012987013,200,1.5527615547180176
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce650>,2,0.01,0.78,0.8764044943820225,200,1.586134910583496
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce830>,3,0.01,0.805,0.89196675900277,200,1.645080804824829
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce200>,4,0.01,0.295,0.4555984555984556,200,1.5385944843292236
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcdf30>,5,0.01,0.79,0.8826815642458101,200,1.6758477687835693
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce110>,6,0.01,0.615,0.7616099071207431,200,1.5684573650360107
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce860>,7,0.01,0.79,0.8826815642458101,200,1.7318155765533447
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce1a0>,8,0.01,0.8,0.888888888888889,200,1.627732753753662
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcc370>,9,0.01,0.655,0.7915407854984895,200,1.566725254058838
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcc670>,0,0.02,0.79,0.8826815642458101,200,1.565166711807251
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce0b0>,1,0.02,0.84,0.9130434782608696,200,1.585277795791626
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcc490>,2,0.02,0.545,0.7055016181229774,200,1.7444579601287842
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcdf60>,3,0.02,0.865,0.9276139410187667,200,1.639854907989502
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcc550>,4,0.02,0.455,0.6254295532646048,200,1.5378785133361816
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcdff0>,5,0.02,0.79,0.8826815642458101,200,1.6807241439819336
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcc700>,6,0.02,0.865,0.9276139410187667,200,1.6471738815307617
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce560>,7,0.02,0.7,0.8235294117647058,200,1.5240793228149414
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce4a0>,8,0.02,0.835,0.9100817438692098,200,1.692918300628662
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce320>,9,0.02,0.88,0.9361702127659575,200,1.5199692249298096
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce050>,0,0.03,0.87,0.9304812834224598,200,1.6640896797180176
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2620>,1,0.03,0.795,0.8857938718662953,200,1.7454066276550293
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2860>,2,0.03,0.265,0.41897233201581024,200,1.5783193111419678
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1ba0>,3,0.03,0.865,0.9276139410187667,200,1.7344777584075928
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2590>,4,0.03,0.865,0.9276139410187667,200,1.6869807243347168
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2170>,5,0.03,0.855,0.921832884097035,200,1.6493690013885498
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd25c0>,6,0.03,0.865,0.9276139410187667,200,1.7462739944458008
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1c60>,7,0.03,0.69,0.8165680473372781,200,1.714686632156372
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1ff0>,8,0.03,0.805,0.89196675900277,200,1.5363526344299316
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2110>,9,0.03,0.75,0.8571428571428571,200,1.6280725002288818
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1bd0>,0,0.04,0.79,0.8826815642458101,200,1.7182698249816895
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1990>,1,0.04,0.865,0.9276139410187667,200,1.7454841136932373
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1a20>,2,0.04,0.67,0.8023952095808384,200,1.5816645622253418
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1d20>,3,0.04,0.88,0.9361702127659575,200,1.6781895160675049
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce5f0>,4,0.04,0.105,0.19004524886877827,200,1.6555075645446777
<Algoritmos.MCLS.MCLS object at 0x7f9c59bce740>,5,0.04,0.685,0.8130563798219584,200,1.680405855178833
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2230>,6,0.04,0.88,0.9361702127659575,200,1.5773913860321045
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2320>,7,0.04,0.79,0.8826815642458101,200,1.689319133758545
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2680>,8,0.04,0.86,0.924731182795699,200,1.7045233249664307
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1e40>,9,0.04,0.875,0.9333333333333333,200,1.6728370189666748
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1a50>,0,0.05,0.88,0.9361702127659575,200,1.6595499515533447
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2260>,1,0.05,0.865,0.9276139410187667,200,1.5911576747894287
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1de0>,2,0.05,0.46,0.6301369863013699,200,1.634537935256958
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2380>,3,0.05,0.88,0.9361702127659575,200,1.5923123359680176
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1ed0>,4,0.05,0.485,0.6531986531986532,200,1.578514814376831
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd27d0>,5,0.05,0.875,0.9333333333333333,200,1.6430659294128418
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1ae0>,6,0.05,0.69,0.8165680473372781,200,1.6696162223815918
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1fc0>,7,0.05,0.85,0.9189189189189189,200,1.6645615100860596
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2710>,8,0.05,0.865,0.9276139410187667,200,1.654273509979248
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd19f0>,9,0.05,0.855,0.921832884097035,200,1.4869575500488281
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1900>,0,0.1,0.86,0.924731182795699,200,1.7022299766540527
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2290>,1,0.1,0.83,0.9071038251366119,200,1.6312217712402344
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd1d80>,2,0.1,0.86,0.924731182795699,200,1.634040117263794
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd20b0>,3,0.1,0.62,0.7654320987654321,200,1.6957709789276123
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd22c0>,4,0.1,0.595,0.7460815047021944,200,1.601637840270996
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2440>,5,0.1,0.86,0.924731182795699,200,1.5334432125091553
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd21d0>,6,0.1,0.63,0.7730061349693252,200,1.6151008605957031
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6c820>,7,0.1,0.67,0.8023952095808384,200,1.6013917922973633
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6c850>,8,0.1,0.695,0.8200589970501475,200,1.6861975193023682
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6e3e0>,9,0.1,0.68,0.8095238095238095,200,1.6324803829193115
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd2650>,0,0.15,0.865,0.9276139410187667,200,1.6721241474151611
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6c7f0>,1,0.15,0.865,0.9276139410187667,200,1.7399530410766602
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6c9d0>,2,0.15,0.865,0.9276139410187667,200,1.5820517539978027
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6c8b0>,3,0.15,0.865,0.9276139410187667,200,1.524836778640747
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaada0>,4,0.15,0.865,0.9276139410187667,200,1.672694206237793
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab460>,5,0.15,0.865,0.9276139410187667,200,1.7371320724487305
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaad70>,6,0.15,0.835,0.9100817438692098,200,1.3768806457519531
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaad10>,7,0.15,0.86,0.924731182795699,200,1.613527536392212
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab670>,8,0.15,0.845,0.9159891598915989,200,1.6101922988891602
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaa980>,9,0.15,0.865,0.9276139410187667,200,1.7244505882263184
<Algoritmos.MCLS.MCLS object at 0x7f9c59d6c250>,0,0.2,0.86,0.924731182795699,200,1.7185070514678955
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaac20>,1,0.2,0.865,0.9276139410187667,200,1.6720631122589111
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaaaa0>,2,0.2,0.875,0.9333333333333333,200,1.576352596282959
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaac50>,3,0.2,0.865,0.9276139410187667,200,1.6261167526245117
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaa050>,4,0.2,0.845,0.9159891598915989,200,1.7033209800720215
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaab30>,5,0.2,0.865,0.9276139410187667,200,1.513892412185669
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaa860>,6,0.2,0.865,0.9276139410187667,200,1.596620798110962
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab310>,7,0.2,0.875,0.9333333333333333,200,1.7742457389831543
<Algoritmos.MCLS.MCLS object at 0x7f9c59bcc1f0>,8,0.2,0.865,0.9276139410187667,200,1.6054494380950928
<Algoritmos.MCLS.MCLS object at 0x7f9c59bd26e0>,9,0.2,0.865,0.9276139410187667,200,1.5076816082000732
<Algoritmos.MCLS.MCLS object at 0x7f9b25aabee0>,0,0.25,0.88,0.9361702127659575,200,1.6605353355407715
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab7f0>,1,0.25,0.875,0.9333333333333333,200,1.8416051864624023
<Algoritmos.MCLS.MCLS object at 0x7f9b25aa8550>,2,0.25,0.865,0.9276139410187667,200,1.6614234447479248
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab370>,3,0.25,0.88,0.9361702127659575,200,1.6015849113464355
<Algoritmos.MCLS.MCLS object at 0x7f9b25aa8d60>,4,0.25,0.88,0.9361702127659575,200,1.6087138652801514
<Algoritmos.MCLS.MCLS object at 0x7f9b25aa84f0>,5,0.25,0.88,0.9361702127659575,200,1.7687726020812988
<Algoritmos.MCLS.MCLS object at 0x7f9b25aa8a60>,6,0.25,0.88,0.9361702127659575,200,1.603924036026001
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab550>,7,0.25,0.875,0.9333333333333333,200,1.6362240314483643
<Algoritmos.MCLS.MCLS object at 0x7f9b25aab3d0>,8,0.25,0.875,0.9333333333333333,200,1.6484997272491455
<Algoritmos.MCLS.MCLS object at 0x7f9b25aaa680>,9,0.25,0.885,0.9389920424403183,200,1.6520447731018066
