Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
AE_PUL,0,0.01,0.93,0.9637305699481865,200,0.2341451644897461
GAE_PUL1,0,0.01,0.89,0.9417989417989417,200,0.2534515857696533
GAE_PUL2,0,0.01,0.93,0.9637305699481865,200,0.2531554698944092
GAE_PUL3,0,0.01,0.915,0.9556135770234987,200,0.25331878662109375
GAE_PUL4,0,0.01,0.92,0.9583333333333334,200,0.24653935432434082
AE_PUL,1,0.01,0.935,0.9664082687338501,200,0.22112417221069336
GAE_PUL1,1,0.01,0.9,0.9473684210526316,200,0.24871325492858887
GAE_PUL2,1,0.01,0.925,0.961038961038961,200,0.2528262138366699
GAE_PUL3,1,0.01,0.925,0.961038961038961,200,0.25002264976501465
GAE_PUL4,1,0.01,0.92,0.9583333333333334,200,0.24452519416809082
AE_PUL,2,0.01,0.925,0.961038961038961,200,0.2204756736755371
GAE_PUL1,2,0.01,0.9,0.9473684210526316,200,0.2598531246185303
GAE_PUL2,2,0.01,0.93,0.9637305699481865,200,0.2506258487701416
GAE_PUL3,2,0.01,0.92,0.9583333333333334,200,0.24866509437561035
GAE_PUL4,2,0.01,0.92,0.9583333333333334,200,0.24568796157836914
AE_PUL,3,0.01,0.93,0.9637305699481865,200,0.22049880027770996
GAE_PUL1,3,0.01,0.88,0.9361702127659575,200,0.24930787086486816
GAE_PUL2,3,0.01,0.93,0.9637305699481865,200,0.25407862663269043
GAE_PUL3,3,0.01,0.92,0.9583333333333334,200,0.24884724617004395
GAE_PUL4,3,0.01,0.92,0.9583333333333334,200,0.2417905330657959
AE_PUL,4,0.01,0.935,0.9664082687338501,200,0.22029852867126465
GAE_PUL1,4,0.01,0.9,0.9473684210526316,200,0.2522413730621338
GAE_PUL2,4,0.01,0.92,0.9583333333333334,200,0.25348639488220215
GAE_PUL3,4,0.01,0.875,0.9333333333333333,200,0.25185203552246094
GAE_PUL4,4,0.01,0.92,0.9583333333333334,200,0.24576687812805176
AE_PUL,5,0.01,0.935,0.9664082687338501,200,0.223602294921875
GAE_PUL1,5,0.01,0.92,0.9583333333333334,200,0.25092053413391113
GAE_PUL2,5,0.01,0.935,0.9664082687338501,200,0.2511422634124756
GAE_PUL3,5,0.01,0.915,0.9556135770234987,200,0.2511899471282959
GAE_PUL4,5,0.01,0.92,0.9583333333333334,200,0.24490046501159668
AE_PUL,6,0.01,0.925,0.961038961038961,200,0.22054481506347656
GAE_PUL1,6,0.01,0.9,0.9473684210526316,200,0.24998259544372559
GAE_PUL2,6,0.01,0.92,0.9583333333333334,200,0.25667357444763184
GAE_PUL3,6,0.01,0.88,0.9361702127659575,200,0.25240039825439453
GAE_PUL4,6,0.01,0.92,0.9583333333333334,200,0.2422177791595459
AE_PUL,7,0.01,0.935,0.9664082687338501,200,0.2196040153503418
GAE_PUL1,7,0.01,0.895,0.9445910290237467,200,0.25504326820373535
GAE_PUL2,7,0.01,0.925,0.961038961038961,200,0.257892370223999
