Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4610>,0,0.01,0.625,0.7692307692307693,200,12.267819166183472
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4970>,1,0.01,0.625,0.7692307692307693,200,12.03229546546936
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd5120>,2,0.01,0.625,0.7692307692307693,200,12.079145193099976
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd5ba0>,3,0.01,0.625,0.7692307692307693,200,12.06503701210022
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd6f50>,4,0.01,0.63,0.7730061349693252,200,12.07090449333191
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd6980>,5,0.01,0.625,0.7692307692307693,200,12.051624059677124
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd5f90>,6,0.01,0.625,0.7692307692307693,200,12.064584016799927
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd5030>,7,0.01,0.625,0.7692307692307693,200,12.09715485572815
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd6380>,8,0.01,0.63,0.7730061349693252,200,12.10567021369934
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4190>,9,0.01,0.63,0.7730061349693252,200,12.093287229537964
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd54b0>,0,0.02,0.63,0.7730061349693252,200,12.095623016357422
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd6cb0>,1,0.02,0.625,0.7692307692307693,200,12.153991937637329
<Algoritmos.PU_LP.PU_LP object at 0x7f9c59dae110>,2,0.02,0.63,0.7730061349693252,200,12.068899393081665
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd51b0>,3,0.02,0.63,0.7730061349693252,200,12.08778166770935
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4850>,4,0.02,0.63,0.7730061349693252,200,12.05922269821167
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd5570>,5,0.02,0.625,0.7692307692307693,200,12.073784589767456
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd7ca0>,6,0.02,0.625,0.7692307692307693,200,12.07804274559021
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd50f0>,7,0.02,0.625,0.7692307692307693,200,12.052098035812378
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4700>,8,0.02,0.63,0.7730061349693252,200,12.069740056991577
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4bb0>,9,0.02,0.625,0.7692307692307693,200,12.052809953689575
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd58a0>,0,0.03,0.63,0.7730061349693252,200,12.073773384094238
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd59c0>,1,0.03,0.63,0.7730061349693252,200,12.049794912338257
<Algoritmos.PU_LP.PU_LP object at 0x7f9b71bd4d60>,2,0.03,0.635,0.7767584097859327,200,12.07278299331665
