Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff940>,0,0.01,0.0,0.0,1,0.10440587997436523
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ffe50>,1,0.01,0.0,0.0,1,0.10516571998596191
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc430>,2,0.01,0.0,0.0,1,0.10537195205688477
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc610>,3,0.01,0.0,0.0,1,0.10477542877197266
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc220>,4,0.01,0.0,0.0,1,0.10505080223083496
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff9d0>,5,0.01,0.0,0.0,1,0.1045222282409668
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc3d0>,6,0.01,0.0,0.0,1,0.10448384284973145
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd960>,7,0.01,0.0,0.0,1,0.10540986061096191
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395febf0>,8,0.01,0.0,0.0,1,0.10519170761108398
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff880>,9,0.01,0.0,0.0,1,0.10501313209533691
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff040>,0,0.02,0.0,0.0,1,0.10528182983398438
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd480>,1,0.02,0.0,0.0,1,0.10393571853637695
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff910>,2,0.02,0.0,0.0,1,0.10465502738952637
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ffd00>,3,0.02,0.0,0.0,1,0.10459089279174805
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd4b0>,4,0.02,0.0,0.0,1,0.10476565361022949
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fcb80>,5,0.02,0.0,0.0,1,0.10476398468017578
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fdcf0>,6,0.02,0.0,0.0,1,0.10454440116882324
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd1e0>,7,0.02,0.0,0.0,1,0.10396313667297363
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff190>,8,0.02,0.0,0.0,1,0.10388016700744629
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fe5c0>,9,0.02,0.0,0.0,1,0.10403227806091309
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff100>,0,0.03,0.0,0.0,1,0.10333061218261719
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd4e0>,1,0.03,0.0,0.0,1,0.10403656959533691
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fcaf0>,2,0.03,0.0,0.0,1,0.10389947891235352
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc1f0>,3,0.03,0.0,0.0,1,0.1031346321105957
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fe4a0>,4,0.03,0.0,0.0,1,0.1040639877319336
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fecb0>,5,0.03,0.0,0.0,1,0.10501480102539062
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd5a0>,6,0.03,0.0,0.0,1,0.10435152053833008
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff3a0>,7,0.03,0.0,0.0,1,0.10444903373718262
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fce80>,8,0.03,0.0,0.0,1,0.10464334487915039
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ffc40>,9,0.03,0.0,0.0,1,0.10418963432312012
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fe560>,0,0.04,0.0,0.0,1,0.10319304466247559
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc4f0>,1,0.04,0.0,0.0,1,0.1044309139251709
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fdba0>,2,0.04,0.0,0.0,1,0.10421991348266602
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fee30>,3,0.04,0.0,0.0,1,0.10451960563659668
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff5e0>,4,0.04,0.0,0.0,1,0.10393095016479492
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fe2c0>,5,0.04,0.0,0.0,1,0.10437989234924316
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fe440>,6,0.04,0.0,0.0,1,0.10366988182067871
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd510>,7,0.04,0.0,0.0,1,0.10465240478515625
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd810>,8,0.04,0.0,0.0,1,0.1031043529510498
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ffac0>,9,0.04,0.0,0.0,1,0.10394668579101562
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fed70>,0,0.05,0.0,0.0,1,0.10433506965637207
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ff7c0>,1,0.05,0.0,0.0,1,0.10431885719299316
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd600>,2,0.05,0.0,0.0,1,0.10308289527893066
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fc250>,3,0.05,0.0,0.0,1,0.10395956039428711
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395fd180>,4,0.05,,0.0,0,0.10374045372009277
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f9b395ffa30>,5,0.05,0.0,0.0,1,0.10320639610290527
