Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
LP_PUL,0,0.01,0.94,0.9690721649484536,200,2.789593458175659
CCRNE,0,0.01,0.805,0.89196675900277,200,0.1260840892791748
AE_PUL,0,0.01,0.825,0.9041095890410958,200,1.2229547500610352
GAE_PUL1,0,0.01,0.785,0.8795518207282913,200,1.2895803451538086
GAE_PUL2,0,0.01,0.785,0.8795518207282913,200,1.2376275062561035
GAE_PUL3,0,0.01,0.79,0.8826815642458101,200,1.2985823154449463
MCLS,0,0.01,0.83,0.9071038251366119,200,3.8739614486694336
PU_LP,0,0.01,0.805,0.89196675900277,200,5.442882776260376
RCSVM_RN,0,0.01,0.805,0.89196675900277,200,0.11213421821594238
LP_PUL,0,0.02,0.92,0.9583333333333334,200,1.698216438293457
CCRNE,0,0.02,0.775,0.8732394366197184,200,0.13438916206359863
AE_PUL,0,0.02,0.905,0.9501312335958005,200,1.1214790344238281
GAE_PUL1,0,0.02,0.825,0.9041095890410958,200,1.2386596202850342
GAE_PUL2,0,0.02,0.81,0.8950276243093923,200,1.2195558547973633
GAE_PUL3,0,0.02,0.815,0.8980716253443526,200,1.242319107055664
MCLS,0,0.02,0.86,0.924731182795699,200,3.9333913326263428
PU_LP,0,0.02,0.775,0.8732394366197184,200,5.254578590393066
RCSVM_RN,0,0.02,0.775,0.8732394366197184,200,0.07270932197570801
LP_PUL,0,0.03,0.935,0.9664082687338501,200,2.9080264568328857
CCRNE,0,0.03,0.76,0.8636363636363636,200,0.21423101425170898
AE_PUL,0,0.03,0.91,0.9528795811518325,200,1.2456538677215576
GAE_PUL1,0,0.03,0.75,0.8571428571428571,200,1.360356330871582
GAE_PUL2,0,0.03,0.76,0.8636363636363636,200,1.4146485328674316
GAE_PUL3,0,0.03,0.87,0.9304812834224598,200,1.272315502166748
MCLS,0,0.03,0.85,0.9189189189189189,200,3.9000492095947266
PU_LP,0,0.03,0.76,0.8636363636363636,200,5.120965480804443
RCSVM_RN,0,0.03,0.76,0.8636363636363636,200,0.08570694923400879
LP_PUL,0,0.04,0.94,0.9690721649484536,200,3.4642691612243652
CCRNE,0,0.04,0.79,0.8826815642458101,200,0.18579649925231934
AE_PUL,0,0.04,0.925,0.961038961038961,200,1.1699721813201904
GAE_PUL1,0,0.04,0.79,0.8826815642458101,200,1.2693769931793213
GAE_PUL2,0,0.04,0.775,0.8732394366197184,200,1.2278048992156982
GAE_PUL3,0,0.04,0.85,0.9189189189189189,200,1.2611267566680908
MCLS,0,0.04,0.895,0.9445910290237467,200,3.327866554260254
PU_LP,0,0.04,0.79,0.8826815642458101,200,5.123453617095947
RCSVM_RN,0,0.04,0.79,0.8826815642458101,200,0.08246016502380371
LP_PUL,0,0.05,0.92,0.9583333333333334,200,4.43455696105957
CCRNE,0,0.05,0.78,0.8764044943820225,200,0.12854719161987305
AE_PUL,0,0.05,0.885,0.9389920424403183,200,1.1789166927337646
GAE_PUL1,0,0.05,0.755,0.8603988603988605,200,1.3173737525939941
GAE_PUL2,0,0.05,0.79,0.8826815642458101,200,1.298370361328125
GAE_PUL3,0,0.05,0.785,0.8795518207282913,200,1.330730676651001
MCLS,0,0.05,0.91,0.9528795811518325,200,4.180778741836548
PU_LP,0,0.05,0.78,0.8764044943820225,200,6.063097238540649
RCSVM_RN,0,0.05,0.78,0.8764044943820225,200,0.09326314926147461
LP_PUL,0,0.1,0.955,0.9769820971867007,200,9.310967445373535
CCRNE,0,0.1,0.8,0.888888888888889,200,0.23622989654541016
AE_PUL,0,0.1,0.905,0.9501312335958005,200,1.1806983947753906
GAE_PUL1,0,0.1,0.8,0.888888888888889,200,1.2426509857177734
GAE_PUL2,0,0.1,0.795,0.8857938718662953,200,1.3599388599395752
GAE_PUL3,0,0.1,0.795,0.8857938718662953,200,1.391252040863037
MCLS,0,0.1,0.89,0.9417989417989417,200,4.327374696731567
PU_LP,0,0.1,0.8,0.888888888888889,200,4.75404953956604
RCSVM_RN,0,0.1,0.8,0.888888888888889,200,0.06288528442382812
LP_PUL,0,0.15,0.965,0.9821882951653944,200,13.028165340423584
CCRNE,0,0.15,0.82,0.9010989010989011,200,0.48518991470336914
AE_PUL,0,0.15,0.91,0.9528795811518325,200,1.1286606788635254
GAE_PUL1,0,0.15,0.8,0.888888888888889,200,1.2718486785888672
GAE_PUL2,0,0.15,0.8,0.888888888888889,200,1.247251272201538
GAE_PUL3,0,0.15,0.795,0.8857938718662953,200,1.2495112419128418
MCLS,0,0.15,0.865,0.9276139410187667,200,3.737548828125
PU_LP,0,0.15,0.82,0.9010989010989011,200,4.789895296096802
RCSVM_RN,0,0.15,0.82,0.9010989010989011,200,0.06521010398864746
LP_PUL,0,0.2,0.98,0.98989898989899,200,17.08737301826477
CCRNE,0,0.2,0.815,0.8980716253443526,200,0.2735624313354492
AE_PUL,0,0.2,0.94,0.9690721649484536,200,1.14886474609375
GAE_PUL1,0,0.2,0.785,0.8795518207282913,200,1.274282455444336
GAE_PUL2,0,0.2,0.79,0.8826815642458101,200,1.2543659210205078
GAE_PUL3,0,0.2,0.795,0.8857938718662953,200,1.262669324874878
MCLS,0,0.2,0.865,0.9276139410187667,200,4.06633186340332
PU_LP,0,0.2,0.815,0.8980716253443526,200,4.951194524765015
RCSVM_RN,0,0.2,0.815,0.8980716253443526,200,0.07706022262573242
LP_PUL,0,0.25,0.985,0.9924433249370278,200,21.52444076538086
CCRNE,0,0.25,0.85,0.9189189189189189,200,0.5403883457183838
AE_PUL,0,0.25,0.95,0.9743589743589743,200,1.1417820453643799
GAE_PUL1,0,0.25,0.86,0.924731182795699,200,1.3051478862762451
GAE_PUL2,0,0.25,0.855,0.921832884097035,200,1.2424108982086182
GAE_PUL3,0,0.25,0.86,0.924731182795699,200,1.2424147129058838
MCLS,0,0.25,0.885,0.9389920424403183,200,4.037640333175659
PU_LP,0,0.25,0.85,0.9189189189189189,200,4.700807094573975
RCSVM_RN,0,0.25,0.85,0.9189189189189189,200,0.06296753883361816
