Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
LP_PUL,0,0.01,0.925,0.961038961038961,200,2.838547468185425
CCRNE,0,0.01,0.76,0.8636363636363636,200,0.14787745475769043
AE_PUL,0,0.01,0.885,0.9389920424403183,200,1.1675865650177002
GAE_PUL1,0,0.01,0.675,0.8059701492537313,200,1.2734339237213135
GAE_PUL2,0,0.01,0.805,0.89196675900277,200,1.22764253616333
GAE_PUL3,0,0.01,0.905,0.9501312335958005,200,1.2160356044769287
MCLS,0,0.01,0.88,0.9361702127659575,200,3.867591142654419
PU_LP,0,0.01,0.76,0.8636363636363636,200,5.135615825653076
RCSVM_RN,0,0.01,0.76,0.8636363636363636,200,0.0920097827911377
LP_PUL,0,0.02,0.895,0.9445910290237467,200,1.6541776657104492
CCRNE,0,0.02,0.785,0.8795518207282913,200,0.13786005973815918
AE_PUL,0,0.02,0.845,0.9159891598915989,200,1.130967378616333
GAE_PUL1,0,0.02,0.76,0.8636363636363636,200,1.2392499446868896
GAE_PUL2,0,0.02,0.835,0.9100817438692098,200,1.22371244430542
GAE_PUL3,0,0.02,0.865,0.9276139410187667,200,1.2439720630645752
MCLS,0,0.02,0.865,0.9276139410187667,200,3.9381284713745117
PU_LP,0,0.02,0.785,0.8795518207282913,200,5.072202205657959
RCSVM_RN,0,0.02,0.785,0.8795518207282913,200,0.07818913459777832
LP_PUL,0,0.03,0.935,0.9664082687338501,200,2.5726709365844727
CCRNE,0,0.03,0.745,0.8538681948424068,200,0.10579609870910645
AE_PUL,0,0.03,0.935,0.9664082687338501,200,1.165318489074707
GAE_PUL1,0,0.03,0.71,0.8304093567251462,200,1.2326769828796387
GAE_PUL2,0,0.03,0.855,0.921832884097035,200,1.2647278308868408
GAE_PUL3,0,0.03,0.935,0.9664082687338501,200,1.2237083911895752
MCLS,0,0.03,0.87,0.9304812834224598,200,4.1598756313323975
PU_LP,0,0.03,0.745,0.8538681948424068,200,5.297077178955078
RCSVM_RN,0,0.03,0.745,0.8538681948424068,200,0.09026384353637695
LP_PUL,0,0.04,0.935,0.9664082687338501,200,3.58355450630188
CCRNE,0,0.04,0.735,0.8472622478386168,200,0.15930557250976562
