Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411c100>,0,0.01,0.785,0.8795518207282913,200,0.18493032455444336
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411c790>,1,0.01,0.765,0.8668555240793201,200,0.165755033493042
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411fa30>,2,0.01,0.795,0.8857938718662953,200,0.14110732078552246
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411fa90>,3,0.01,0.795,0.8857938718662953,200,0.14145827293395996
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411fb50>,4,0.01,0.775,0.8732394366197184,200,0.18702459335327148
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411fbb0>,5,0.01,0.8,0.888888888888889,200,0.1743481159210205
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411c280>,6,0.01,0.775,0.8732394366197184,200,0.12457776069641113
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411fee0>,7,0.01,0.77,0.8700564971751412,200,0.19728970527648926
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411c220>,8,0.01,0.775,0.8732394366197184,200,0.12662124633789062
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411fc10>,9,0.01,0.8,0.888888888888889,200,0.21660780906677246
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411faf0>,0,0.02,0.78,0.8764044943820225,200,0.1759321689605713
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f910>,1,0.02,0.77,0.8700564971751412,200,0.1295485496520996
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f8e0>,2,0.02,0.765,0.8668555240793201,200,0.16459870338439941
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f8b0>,3,0.02,0.795,0.8857938718662953,200,0.22631525993347168
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f880>,4,0.02,0.775,0.8732394366197184,200,0.12430405616760254
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f850>,5,0.02,0.785,0.8795518207282913,200,0.20707225799560547
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f820>,6,0.02,0.785,0.8795518207282913,200,0.1221015453338623
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f7f0>,7,0.02,0.8,0.888888888888889,200,0.13879013061523438
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f7c0>,8,0.02,0.775,0.8732394366197184,200,0.1795806884765625
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f790>,9,0.02,0.76,0.8636363636363636,200,0.2424144744873047
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f760>,0,0.03,0.765,0.8668555240793201,200,0.16529583930969238
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f730>,1,0.03,0.79,0.8826815642458101,200,0.1287236213684082
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f700>,2,0.03,0.805,0.89196675900277,200,0.1465165615081787
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f6d0>,3,0.03,0.805,0.89196675900277,200,0.155442476272583
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f6a0>,4,0.03,0.795,0.8857938718662953,200,0.2992267608642578
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f670>,5,0.03,0.815,0.8980716253443526,200,0.1923837661743164
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f640>,6,0.03,0.77,0.8700564971751412,200,0.15458154678344727
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f610>,7,0.03,0.795,0.8857938718662953,200,0.16705060005187988
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f5e0>,8,0.03,0.77,0.8700564971751412,200,0.11996984481811523
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f5b0>,9,0.03,0.815,0.8980716253443526,200,0.35411715507507324
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f580>,0,0.04,0.79,0.8826815642458101,200,0.1366581916809082
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f550>,1,0.04,0.81,0.8950276243093923,200,0.19335722923278809
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f520>,2,0.04,0.805,0.89196675900277,200,0.1911914348602295
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f4f0>,3,0.04,0.76,0.8636363636363636,200,0.3573780059814453
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f4c0>,4,0.04,0.78,0.8764044943820225,200,0.17094850540161133
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f490>,5,0.04,0.77,0.8700564971751412,200,0.449296236038208
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f460>,6,0.04,0.81,0.8950276243093923,200,0.16405034065246582
<Algoritmos.CCRNE.CCRNE object at 0x7f9b6411f430>,7,0.04,0.76,0.8636363636363636,200,0.2165360450744629
