Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fdd50>,0,0.01,0.91,0.9528795811518325,200,2.965881109237671
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fc370>,1,0.01,0.92,0.9583333333333334,200,0.9898931980133057
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fddb0>,2,0.01,0.915,0.9556135770234987,200,0.8256502151489258
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff640>,3,0.01,0.92,0.9583333333333334,200,0.8339183330535889
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fdba0>,4,0.01,0.9,0.9473684210526316,200,1.040475606918335
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fdc00>,5,0.01,0.925,0.961038961038961,200,0.9184491634368896
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff4f0>,6,0.01,0.915,0.9556135770234987,200,0.9492380619049072
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff520>,7,0.01,0.915,0.9556135770234987,200,0.8292310237884521
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff460>,8,0.01,0.905,0.9501312335958005,200,0.9657020568847656
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fc4c0>,9,0.01,0.905,0.9501312335958005,200,0.9530980587005615
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fc2e0>,0,0.02,0.9,0.9473684210526316,200,1.9993689060211182
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fc340>,1,0.02,0.935,0.9664082687338501,200,1.7485454082489014
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fdab0>,2,0.02,0.935,0.9664082687338501,200,1.8945066928863525
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff2b0>,3,0.02,0.92,0.9583333333333334,200,1.9154715538024902
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff250>,4,0.02,0.905,0.9501312335958005,200,1.9846315383911133
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff1f0>,5,0.02,0.91,0.9528795811518325,200,2.0224287509918213
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff190>,6,0.02,0.915,0.9556135770234987,200,1.8945326805114746
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff130>,7,0.02,0.91,0.9528795811518325,200,2.114431858062744
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395ff0d0>,8,0.02,0.925,0.961038961038961,200,2.005668878555298
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fd930>,9,0.02,0.925,0.961038961038961,200,1.9837555885314941
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fd8d0>,0,0.03,0.91,0.9528795811518325,200,2.9681336879730225
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fd870>,1,0.03,0.94,0.9690721649484536,200,2.452160596847534
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fd810>,2,0.03,0.925,0.961038961038961,200,3.2767744064331055
<Algoritmos.LP_PUL.LP_PUL object at 0x7f9b395fd7b0>,3,0.03,0.925,0.961038961038961,200,2.765364646911621
