Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.MCLS.MCLS object at 0x7f9b71ba7fd0>,0,0.01,0.87,0.9304812834224598,200,4.454432487487793
<Algoritmos.MCLS.MCLS object at 0x7f9b71ba79d0>,1,0.01,0.895,0.9445910290237467,200,4.168441295623779
<Algoritmos.MCLS.MCLS object at 0x7f9b71ba7550>,2,0.01,0.85,0.9189189189189189,200,3.5608367919921875
<Algoritmos.MCLS.MCLS object at 0x7f9b71ba7b80>,3,0.01,0.85,0.9189189189189189,200,3.8908753395080566
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcca90>,4,0.01,0.91,0.9528795811518325,200,4.119458913803101
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc9d0>,5,0.01,0.86,0.924731182795699,200,3.405810832977295
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc9a0>,6,0.01,0.9,0.9473684210526316,200,4.282469034194946
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc8b0>,7,0.01,0.89,0.9417989417989417,200,4.372525930404663
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc850>,8,0.01,0.875,0.9333333333333333,200,4.092793941497803
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc7f0>,9,0.01,0.89,0.9417989417989417,200,4.144442319869995
<Algoritmos.MCLS.MCLS object at 0x7f9b71ba7bb0>,0,0.02,0.945,0.9717223650385605,200,3.9362833499908447
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc670>,1,0.02,0.965,0.9821882951653944,200,3.872728109359741
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc2b0>,2,0.02,0.93,0.9637305699481865,200,3.5436289310455322
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc2e0>,3,0.02,0.895,0.9445910290237467,200,4.4495508670806885
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc1f0>,4,0.02,0.84,0.9130434782608696,200,3.7948825359344482
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc190>,5,0.02,0.915,0.9556135770234987,200,3.5849311351776123
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc160>,6,0.02,0.915,0.9556135770234987,200,3.962129831314087
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc100>,7,0.02,0.91,0.9528795811518325,200,4.057797908782959
<Algoritmos.MCLS.MCLS object at 0x7f9b71ba74f0>,8,0.02,0.915,0.9556135770234987,200,3.57603120803833
<Algoritmos.MCLS.MCLS object at 0x7f9b73d07790>,9,0.02,0.89,0.9417989417989417,200,3.594372272491455
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcce50>,0,0.03,0.915,0.9556135770234987,200,4.408221244812012
<Algoritmos.MCLS.MCLS object at 0x7f9b71bccf10>,1,0.03,0.885,0.9389920424403183,200,3.5025546550750732
<Algoritmos.MCLS.MCLS object at 0x7f9b71bccf40>,2,0.03,0.88,0.9361702127659575,200,3.654298782348633
<Algoritmos.MCLS.MCLS object at 0x7f9b71bccfd0>,3,0.03,0.9,0.9473684210526316,200,4.347897529602051
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd000>,4,0.03,0.865,0.9276139410187667,200,3.621192216873169
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd090>,5,0.03,0.92,0.9583333333333334,200,4.235599756240845
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd030>,6,0.03,0.885,0.9389920424403183,200,4.126992464065552
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcc280>,7,0.03,0.92,0.9583333333333334,200,3.4031014442443848
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd1b0>,8,0.03,0.86,0.924731182795699,200,3.3941478729248047
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd210>,9,0.03,0.88,0.9361702127659575,200,4.679868936538696
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd240>,0,0.04,0.915,0.9556135770234987,200,4.145799875259399
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd630>,1,0.04,0.915,0.9556135770234987,200,4.230167388916016
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd660>,2,0.04,0.895,0.9445910290237467,200,3.930027961730957
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd690>,3,0.04,0.94,0.9690721649484536,200,3.4920878410339355
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd720>,4,0.04,0.97,0.9847715736040609,200,4.639928817749023
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd750>,5,0.04,0.87,0.9304812834224598,200,4.052119731903076
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd6f0>,6,0.04,0.88,0.9361702127659575,200,4.3464531898498535
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd870>,7,0.04,0.955,0.9769820971867007,200,3.5365138053894043
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd8d0>,8,0.04,0.89,0.9417989417989417,200,3.6756656169891357
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd840>,9,0.04,0.89,0.9417989417989417,200,4.2337260246276855
<Algoritmos.MCLS.MCLS object at 0x7f9b71bcd990>,0,0.05,0.91,0.9528795811518325,200,3.8174092769622803
