Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
AE_PUL,0,0.01,0.935,0.9664082687338501,200,1.2203593254089355
GAE_PUL1,0,0.01,0.765,0.8668555240793201,200,1.2797131538391113
GAE_PUL2,0,0.01,0.9,0.9473684210526316,200,1.2758896350860596
GAE_PUL3,0,0.01,0.765,0.8668555240793201,200,1.2665362358093262
GAE_PUL4,0,0.01,0.88,0.9361702127659575,200,1.2726259231567383
AE_PUL,1,0.01,0.875,0.9333333333333333,200,1.1937737464904785
GAE_PUL1,1,0.01,0.755,0.8603988603988605,200,1.2658627033233643
GAE_PUL2,1,0.01,0.815,0.8980716253443526,200,1.306896686553955
GAE_PUL3,1,0.01,0.76,0.8636363636363636,200,1.2625689506530762
GAE_PUL4,1,0.01,0.83,0.9071038251366119,200,1.282470941543579
AE_PUL,2,0.01,0.925,0.961038961038961,200,1.173041582107544
GAE_PUL1,2,0.01,0.79,0.8826815642458101,200,1.2929458618164062
GAE_PUL2,2,0.01,0.86,0.924731182795699,200,1.264209270477295
GAE_PUL3,2,0.01,0.775,0.8732394366197184,200,1.270118236541748
GAE_PUL4,2,0.01,0.865,0.9276139410187667,200,1.2712476253509521
AE_PUL,3,0.01,0.885,0.9389920424403183,200,1.1767919063568115
GAE_PUL1,3,0.01,0.785,0.8795518207282913,200,1.272399663925171
GAE_PUL2,3,0.01,0.915,0.9556135770234987,200,1.26609468460083
GAE_PUL3,3,0.01,0.795,0.8857938718662953,200,1.271301031112671
GAE_PUL4,3,0.01,0.84,0.9130434782608696,200,1.2742202281951904
AE_PUL,4,0.01,0.905,0.9501312335958005,200,1.1838624477386475
GAE_PUL1,4,0.01,0.785,0.8795518207282913,200,1.2639641761779785
GAE_PUL2,4,0.01,0.91,0.9528795811518325,200,1.262972354888916
GAE_PUL3,4,0.01,0.81,0.8950276243093923,200,1.2571251392364502
GAE_PUL4,4,0.01,0.905,0.9501312335958005,200,1.2825615406036377
AE_PUL,5,0.01,0.905,0.9501312335958005,200,1.1773135662078857
GAE_PUL1,5,0.01,0.785,0.8795518207282913,200,1.2989740371704102
GAE_PUL2,5,0.01,0.9,0.9473684210526316,200,1.267737627029419
GAE_PUL3,5,0.01,0.79,0.8826815642458101,200,1.268510341644287
GAE_PUL4,5,0.01,0.89,0.9417989417989417,200,1.258678674697876
AE_PUL,6,0.01,0.9,0.9473684210526316,200,1.178251028060913
GAE_PUL1,6,0.01,0.795,0.8857938718662953,200,1.2640700340270996
GAE_PUL2,6,0.01,0.845,0.9159891598915989,200,1.2695503234863281
GAE_PUL3,6,0.01,0.795,0.8857938718662953,200,1.262822151184082
GAE_PUL4,6,0.01,0.855,0.921832884097035,200,1.2588984966278076
AE_PUL,7,0.01,0.9,0.9473684210526316,200,1.178011178970337
GAE_PUL1,7,0.01,0.815,0.8980716253443526,200,1.2674407958984375
GAE_PUL2,7,0.01,0.905,0.9501312335958005,200,1.2702558040618896
GAE_PUL3,7,0.01,0.78,0.8764044943820225,200,1.2673048973083496
GAE_PUL4,7,0.01,0.895,0.9445910290237467,200,1.2649924755096436
AE_PUL,8,0.01,0.925,0.961038961038961,200,1.178070068359375
