Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdde0>,0,0.01,0.78,0.8764044943820225,200,6.211555242538452
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe170>,1,0.01,0.78,0.8764044943820225,200,6.191513776779175
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdcf0>,2,0.01,0.78,0.8764044943820225,200,6.152844667434692
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe1a0>,3,0.01,0.78,0.8764044943820225,200,6.152561902999878
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe110>,4,0.01,0.78,0.8764044943820225,200,6.202261447906494
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe0e0>,5,0.01,0.78,0.8764044943820225,200,6.152035713195801
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe020>,6,0.01,0.78,0.8764044943820225,200,6.149701356887817
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdfc0>,7,0.01,0.78,0.8764044943820225,200,6.134532690048218
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdf00>,8,0.01,0.785,0.8795518207282913,200,6.139698266983032
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdc30>,9,0.01,0.78,0.8764044943820225,200,6.148160457611084
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdea0>,0,0.02,0.78,0.8764044943820225,200,6.154706001281738
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fdf60>,1,0.02,0.78,0.8764044943820225,200,6.184652090072632
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe2c0>,2,0.02,0.78,0.8764044943820225,200,6.158770322799683
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe260>,3,0.02,0.78,0.8764044943820225,200,6.138192653656006
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe080>,4,0.02,0.78,0.8764044943820225,200,6.168730974197388
<Algoritmos.PU_LP.PU_LP object at 0x7f9b395fe290>,5,0.02,0.78,0.8764044943820225,200,6.14216947555542
