Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000002641398A490>,0,0.01,0.78,0.8764044943820225,200,0.20104598999023438
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026411EAE9D0>,1,0.01,0.78,0.8764044943820225,200,0.19704508781433105
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026413A0B5D0>,2,0.01,0.78,0.8764044943820225,200,0.20404601097106934
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026413A0BC50>,3,0.01,0.78,0.8764044943820225,200,0.18804264068603516
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026413A0BC90>,4,0.01,0.78,0.8764044943820225,200,0.19304394721984863
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268090>,5,0.01,0.78,0.8764044943820225,200,0.1960444450378418
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268950>,6,0.01,0.78,0.8764044943820225,200,0.1890430450439453
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268190>,7,0.01,0.78,0.8764044943820225,200,0.18204140663146973
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000264372684D0>,8,0.01,0.78,0.8764044943820225,200,0.20104575157165527
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026413A0BF50>,9,0.01,0.78,0.8764044943820225,200,0.20004582405090332
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026413A0BD90>,0,0.02,0.78,0.8764044943820225,200,0.19304347038269043
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268110>,1,0.02,0.78,0.8764044943820225,200,0.1870427131652832
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268390>,2,0.02,0.79,0.8826815642458101,200,0.19204354286193848
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268550>,3,0.02,0.78,0.8764044943820225,200,0.19004273414611816
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268490>,4,0.02,0.78,0.8764044943820225,200,0.20104503631591797
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000264372685D0>,5,0.02,0.78,0.8764044943820225,200,0.19304370880126953
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437268650>,6,0.02,0.78,0.8764044943820225,200,0.20004582405090332
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437335310>,7,0.02,0.78,0.8764044943820225,200,0.19704461097717285
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437335290>,8,0.02,0.78,0.8764044943820225,200,0.19504404067993164
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437335210>,9,0.02,0.785,0.8795518207282913,200,0.19204378128051758
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000026437335250>,0,0.03,0.785,0.8795518207282913,200,0.19204330444335938
