Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d18cf2e0>,0,0.01,0.715,0.8338192419825073,200,0.14055705070495605
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d18cfa90>,1,0.01,0.75,0.8571428571428571,200,0.15438103675842285
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a3e0>,2,0.01,0.75,0.8571428571428571,200,0.15401625633239746
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a320>,3,0.01,0.695,0.8200589970501475,200,0.1840653419494629
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a2f0>,4,0.01,0.65,0.787878787878788,200,0.14714384078979492
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a260>,5,0.01,0.715,0.8338192419825073,200,0.05621933937072754
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a1a0>,6,0.01,0.74,0.8505747126436781,200,0.17467665672302246
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a170>,7,0.01,0.71,0.8304093567251462,200,0.17473220825195312
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a0e0>,8,0.01,0.755,0.8603988603988605,200,0.1117556095123291
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a110>,9,0.01,0.74,0.8505747126436781,200,0.13577556610107422
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d18cf2b0>,0,0.02,0.71,0.8304093567251462,200,0.23710179328918457
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a050>,1,0.02,0.76,0.8636363636363636,200,0.1698017120361328
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a020>,2,0.02,0.705,0.8269794721407624,200,0.17176413536071777
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d1708340>,3,0.02,0.73,0.8439306358381503,200,0.2971761226654053
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d1708760>,4,0.02,0.765,0.8668555240793201,200,0.13184118270874023
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d1709ff0>,5,0.02,0.75,0.8571428571428571,200,0.19737482070922852
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d1709fc0>,6,0.02,0.775,0.8732394366197184,200,0.19748544692993164
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a0b0>,7,0.02,0.735,0.8472622478386168,200,0.13949227333068848
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a1d0>,8,0.02,0.685,0.8130563798219584,200,0.18799638748168945
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a200>,9,0.02,0.73,0.8439306358381503,200,0.22333168983459473
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a4a0>,0,0.03,0.72,0.8372093023255813,200,0.20250844955444336
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a4d0>,1,0.03,0.72,0.8372093023255813,200,0.3150506019592285
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a770>,2,0.03,0.755,0.8603988603988605,200,0.28005027770996094
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a7a0>,3,0.03,0.71,0.8304093567251462,200,0.18292665481567383
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a7d0>,4,0.03,0.735,0.8472622478386168,200,0.20245027542114258
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d1708370>,5,0.03,0.75,0.8571428571428571,200,0.23260283470153809
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d17083a0>,6,0.03,0.79,0.8826815642458101,200,0.3397328853607178
<Algoritmos.CCRNE.CCRNE object at 0x7ff4d170a3b0>,7,0.03,0.79,0.8826815642458101,200,0.21497607231140137
