Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a1a0>,0,0.01,0.845,0.9159891598915989,200,2.1489052772521973
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d17083a0>,1,0.01,0.795,0.8857938718662953,200,0.9796295166015625
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1708370>,2,0.01,0.8,0.888888888888889,200,0.9093079566955566
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a7a0>,3,0.01,0.715,0.8338192419825073,200,0.9661300182342529
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a4d0>,4,0.01,0.805,0.89196675900277,200,1.0168087482452393
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1709ff0>,5,0.01,0.805,0.89196675900277,200,0.9730045795440674
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a050>,6,0.01,0.745,0.8538681948424068,200,0.8039717674255371
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1708730>,7,0.01,0.81,0.8950276243093923,200,1.0593464374542236
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1708340>,8,0.01,0.815,0.8980716253443526,200,0.8665895462036133
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a0b0>,9,0.01,0.8,0.888888888888889,200,0.8618869781494141
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a200>,0,0.02,0.8,0.888888888888889,200,1.8070013523101807
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1708310>,1,0.02,0.845,0.9159891598915989,200,1.667043685913086
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1708460>,2,0.02,0.825,0.9041095890410958,200,1.9570131301879883
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a1d0>,3,0.02,0.805,0.89196675900277,200,1.805551290512085
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1708760>,4,0.02,0.83,0.9071038251366119,200,1.9639315605163574
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0460>,5,0.02,0.815,0.8980716253443526,200,1.8807494640350342
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c09a0>,6,0.02,0.845,0.9159891598915989,200,1.92730712890625
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3d90>,7,0.02,0.845,0.9159891598915989,200,1.9702849388122559
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c14e0>,8,0.02,0.835,0.9100817438692098,200,2.055598020553589
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1d80>,9,0.02,0.815,0.8980716253443526,200,1.989722728729248
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d170a110>,0,0.03,0.79,0.8826815642458101,200,2.842453956604004
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2f50>,1,0.03,0.835,0.9100817438692098,200,2.8065237998962402
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2d10>,2,0.03,0.835,0.9100817438692098,200,2.7502644062042236
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c29b0>,3,0.03,0.815,0.8980716253443526,200,2.6411526203155518
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0d90>,4,0.03,0.84,0.9130434782608696,200,2.643836498260498
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3160>,5,0.03,0.865,0.9276139410187667,200,2.651118040084839
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1000>,6,0.03,0.86,0.924731182795699,200,2.770995616912842
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1690>,7,0.03,0.795,0.8857938718662953,200,2.6176047325134277
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3af0>,8,0.03,0.815,0.8980716253443526,200,2.654770851135254
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3220>,9,0.03,0.795,0.8857938718662953,200,2.5318756103515625
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2380>,0,0.04,0.785,0.8795518207282913,200,3.4057486057281494
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c20e0>,1,0.04,0.81,0.8950276243093923,200,3.388578176498413
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2b60>,2,0.04,0.78,0.8764044943820225,200,3.254521369934082
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c05b0>,3,0.04,0.8,0.888888888888889,200,3.443660020828247
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c08b0>,4,0.04,0.795,0.8857938718662953,200,3.1558969020843506
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1450>,5,0.04,0.8,0.888888888888889,200,3.4572958946228027
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c06d0>,6,0.04,0.82,0.9010989010989011,200,3.5367326736450195
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c03d0>,7,0.04,0.81,0.8950276243093923,200,3.286900281906128
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3820>,8,0.04,0.78,0.8764044943820225,200,3.3581573963165283
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c36a0>,9,0.04,0.855,0.921832884097035,200,3.5081593990325928
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2e90>,0,0.05,0.83,0.9071038251366119,200,4.304842472076416
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3f10>,1,0.05,0.795,0.8857938718662953,200,4.42817234992981
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0940>,2,0.05,0.845,0.9159891598915989,200,4.662102460861206
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0040>,3,0.05,0.82,0.9010989010989011,200,4.419626474380493
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1300>,4,0.05,0.805,0.89196675900277,200,4.297934055328369
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0dc0>,5,0.05,0.82,0.9010989010989011,200,4.481219053268433
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3490>,6,0.05,0.79,0.8826815642458101,200,4.464216232299805
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1900>,7,0.05,0.8,0.888888888888889,200,4.122548341751099
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1360>,8,0.05,0.79,0.8826815642458101,200,4.2370829582214355
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2050>,9,0.05,0.82,0.9010989010989011,200,4.338095664978027
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0e20>,0,0.1,0.815,0.8980716253443526,200,8.445646047592163
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2230>,1,0.1,0.835,0.9100817438692098,200,8.630446434020996
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3b80>,2,0.1,0.825,0.9041095890410958,200,8.740386724472046
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2e30>,3,0.1,0.84,0.9130434782608696,200,9.086116313934326
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c19c0>,4,0.1,0.835,0.9100817438692098,200,8.259600162506104
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c12a0>,5,0.1,0.82,0.9010989010989011,200,8.59253978729248
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3fa0>,6,0.1,0.82,0.9010989010989011,200,8.855188608169556
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c30d0>,7,0.1,0.825,0.9041095890410958,200,9.06537652015686
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1ba0>,8,0.1,0.84,0.9130434782608696,200,8.802996635437012
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c04c0>,9,0.1,0.815,0.8980716253443526,200,9.323383331298828
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2290>,0,0.15,0.84,0.9130434782608696,200,13.517144918441772
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0a60>,1,0.15,0.85,0.9189189189189189,200,12.866489887237549
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1d50>,2,0.15,0.855,0.921832884097035,200,13.001322507858276
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3e80>,3,0.15,0.84,0.9130434782608696,200,12.982951641082764
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3880>,4,0.15,0.825,0.9041095890410958,200,12.829854011535645
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2e00>,5,0.15,0.825,0.9041095890410958,200,13.213187217712402
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c34c0>,6,0.15,0.855,0.921832884097035,200,12.947603702545166
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3370>,7,0.15,0.835,0.9100817438692098,200,12.5076744556427
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3be0>,8,0.15,0.8,0.888888888888889,200,12.705966234207153
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0d30>,9,0.15,0.855,0.921832884097035,200,13.04554533958435
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1c60>,0,0.2,0.835,0.9100817438692098,200,16.691349267959595
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c15a0>,1,0.2,0.87,0.9304812834224598,200,17.763693809509277
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1660>,2,0.2,0.88,0.9361702127659575,200,17.319749116897583
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3b20>,3,0.2,0.83,0.9071038251366119,200,17.43814492225647
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0f70>,4,0.2,0.835,0.9100817438692098,200,17.9307701587677
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c3910>,5,0.2,0.81,0.8950276243093923,200,18.03170609474182
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2350>,6,0.2,0.845,0.9159891598915989,200,17.795175075531006
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c2320>,7,0.2,0.85,0.9189189189189189,200,17.08785581588745
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1fc0>,8,0.2,0.87,0.9304812834224598,200,16.8936984539032
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c1240>,9,0.2,0.865,0.9276139410187667,200,17.83542513847351
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff3d15c0a00>,0,0.25,0.855,0.921832884097035,200,22.115631103515625
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d188c310>,1,0.25,0.86,0.924731182795699,200,22.095435857772827
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d188e620>,2,0.25,0.835,0.9100817438692098,200,21.569497108459473
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d17157b0>,3,0.25,0.835,0.9100817438692098,200,21.42620062828064
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1715000>,4,0.25,0.86,0.924731182795699,200,21.135765552520752
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1714f70>,5,0.25,0.84,0.9130434782608696,200,21.316288471221924
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1714d90>,6,0.25,0.86,0.924731182795699,200,20.6585590839386
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1714d30>,7,0.25,0.84,0.9130434782608696,200,21.461936473846436
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1714cd0>,8,0.25,0.855,0.921832884097035,200,21.661529064178467
<Algoritmos.LP_PUL.LP_PUL object at 0x7ff4d1714c70>,9,0.25,0.85,0.9189189189189189,200,21.237914085388184
