Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7130>,0,0.01,0.875,0.9333333333333333,200,1.761747121810913
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd45e0>,1,0.01,0.925,0.961038961038961,200,1.8955469131469727
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4190>,2,0.01,0.92,0.9583333333333334,200,1.825305461883545
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd51e0>,3,0.01,0.925,0.961038961038961,200,1.8445866107940674
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5240>,4,0.01,0.87,0.9304812834224598,200,1.851440668106079
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5300>,5,0.01,0.86,0.924731182795699,200,1.8339056968688965
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd52d0>,6,0.01,0.875,0.9333333333333333,200,1.8141160011291504
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd52a0>,7,0.01,0.845,0.9159891598915989,200,1.6793158054351807
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd45b0>,8,0.01,0.89,0.9417989417989417,200,1.815502405166626
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5330>,9,0.01,0.865,0.9276139410187667,200,1.594773769378662
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7220>,0,0.02,0.85,0.9189189189189189,200,1.6698410511016846
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4970>,1,0.02,0.865,0.9276139410187667,200,1.8183274269104004
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5ab0>,2,0.02,0.825,0.9041095890410958,200,1.8026518821716309
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7be0>,3,0.02,0.89,0.9417989417989417,200,1.722621202468872
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd49d0>,4,0.02,0.92,0.9583333333333334,200,1.9767396450042725
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7490>,5,0.02,0.87,0.9304812834224598,200,1.8234601020812988
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6c80>,6,0.02,0.88,0.9361702127659575,200,1.757889747619629
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7940>,7,0.02,0.9,0.9473684210526316,200,1.7733139991760254
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4250>,8,0.02,0.88,0.9361702127659575,200,1.9977216720581055
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6620>,9,0.02,0.805,0.89196675900277,200,1.70583176612854
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5600>,0,0.03,0.835,0.9100817438692098,200,1.7626471519470215
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd75e0>,1,0.03,0.865,0.9276139410187667,200,1.8414123058319092
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd77f0>,2,0.03,0.835,0.9100817438692098,200,1.7601573467254639
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5ba0>,3,0.03,0.86,0.924731182795699,200,1.6098790168762207
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4100>,4,0.03,0.905,0.9501312335958005,200,1.819899559020996
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7c40>,5,0.03,0.7636363636363637,0.865979381443299,165,1.7150263786315918
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7580>,6,0.03,0.89,0.9417989417989417,200,1.7859570980072021
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4220>,7,0.03,0.7586206896551724,0.8627450980392156,145,1.6315631866455078
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7790>,8,0.03,0.905,0.9501312335958005,200,1.8661057949066162
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5ed0>,9,0.03,0.835,0.9100817438692098,200,1.8377289772033691
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5960>,0,0.04,0.855,0.921832884097035,200,1.7698101997375488
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd61a0>,1,0.04,0.86,0.924731182795699,200,1.841179609298706
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7520>,2,0.04,0.905,0.9501312335958005,200,1.825896978378296
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6260>,3,0.04,0.89,0.9417989417989417,200,1.9011430740356445
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6b00>,4,0.04,0.765,0.8668555240793201,200,1.8557820320129395
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5d80>,5,0.04,0.845,0.9159891598915989,200,1.7785911560058594
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd62c0>,6,0.04,0.875,0.9333333333333333,200,1.8280930519104004
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7c70>,7,0.04,0.83,0.9071038251366119,200,1.769791603088379
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5930>,8,0.04,0.88,0.9361702127659575,200,1.699596881866455
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7a30>,9,0.04,0.89,0.9417989417989417,200,1.7872285842895508
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7ac0>,0,0.05,0.875,0.9333333333333333,200,1.9477622509002686
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6fb0>,1,0.05,0.84,0.9130434782608696,200,1.916654109954834
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6050>,2,0.05,0.91,0.9528795811518325,200,1.8216183185577393
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7880>,3,0.05,0.825,0.9041095890410958,200,1.723214864730835
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6ef0>,4,0.05,0.86,0.924731182795699,200,1.8366858959197998
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5a50>,5,0.05,0.875,0.9333333333333333,200,1.7714195251464844
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7d30>,6,0.05,0.855,0.921832884097035,200,1.849381685256958
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4340>,7,0.05,0.88,0.9361702127659575,200,1.9171102046966553
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6a70>,8,0.05,0.86,0.924731182795699,200,2.0560550689697266
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7b20>,9,0.05,0.85,0.9189189189189189,200,1.8278801441192627
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7730>,0,0.1,0.87,0.9304812834224598,200,1.7854483127593994
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7e20>,1,0.1,0.87,0.9304812834224598,200,1.788783073425293
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5870>,2,0.1,0.87,0.9304812834224598,200,1.8051822185516357
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd48b0>,3,0.1,0.87,0.9304812834224598,200,1.9743187427520752
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6950>,4,0.1,0.865,0.9276139410187667,200,2.0574374198913574
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5030>,5,0.1,0.865,0.9276139410187667,200,1.7454099655151367
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd50c0>,6,0.1,0.885,0.9389920424403183,200,1.7551217079162598
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd71c0>,7,0.1,0.835,0.9100817438692098,200,1.8300437927246094
<Algoritmos.MCLS.MCLS object at 0x7f9b73d07790>,8,0.1,0.905,0.9501312335958005,200,1.8835868835449219
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd54e0>,9,0.1,0.865,0.9276139410187667,200,1.8165545463562012
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5660>,0,0.15,0.875,0.9333333333333333,200,1.9556443691253662
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5c60>,1,0.15,0.875,0.9333333333333333,200,1.9357788562774658
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4850>,2,0.15,0.925,0.961038961038961,200,1.7791223526000977
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7d90>,3,0.15,0.875,0.9333333333333333,200,1.8451528549194336
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd42e0>,4,0.15,0.81,0.8950276243093923,200,1.8036885261535645
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4f40>,5,0.15,0.865,0.9276139410187667,200,1.7438719272613525
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7d00>,6,0.15,0.92,0.9583333333333334,200,1.8980629444122314
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5750>,7,0.15,0.84,0.9130434782608696,200,1.661081075668335
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5ea0>,8,0.15,0.885,0.9389920424403183,200,1.9458885192871094
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5e10>,9,0.15,0.95,0.9743589743589743,200,1.9635629653930664
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd68c0>,0,0.2,0.94,0.9690721649484536,200,1.8335578441619873
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7430>,1,0.2,0.88,0.9361702127659575,200,1.6518030166625977
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd71f0>,2,0.2,0.865,0.9276139410187667,200,1.8335192203521729
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5d20>,3,0.2,0.875,0.9333333333333333,200,1.7839815616607666
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7850>,4,0.2,0.87,0.9304812834224598,200,1.7853655815124512
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6bc0>,5,0.2,0.875,0.9333333333333333,200,1.903775691986084
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7b80>,6,0.2,0.945,0.9717223650385605,200,1.849743366241455
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7b50>,7,0.2,0.955,0.9769820971867007,200,1.8048555850982666
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd50f0>,8,0.2,0.85,0.9189189189189189,200,1.8808789253234863
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5ff0>,9,0.2,0.865,0.9276139410187667,200,1.87152099609375
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5c00>,0,0.25,0.88,0.9361702127659575,200,1.867290735244751
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7910>,1,0.25,0.86,0.924731182795699,200,1.8584046363830566
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7070>,2,0.25,0.875,0.9333333333333333,200,1.7120609283447266
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7dc0>,3,0.25,0.91,0.9528795811518325,200,1.6579511165618896
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7fd0>,4,0.25,0.865,0.9276139410187667,200,1.9608745574951172
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5570>,5,0.25,0.865,0.9276139410187667,200,1.954749584197998
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5ae0>,6,0.25,0.85,0.9189189189189189,200,1.838808536529541
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6170>,7,0.25,0.885,0.9389920424403183,200,1.8128767013549805
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6380>,8,0.25,0.86,0.924731182795699,200,1.9031450748443604
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd61d0>,9,0.25,0.87,0.9304812834224598,200,2.083960771560669
