Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
AE_PUL,0,0.01,0.71,0.8304093567251462,200,0.6713378429412842
GAE_PUL1,0,0.01,0.665,0.7987987987987988,200,0.7418727874755859
GAE_PUL2,0,0.01,0.715,0.8338192419825073,200,0.7421600818634033
GAE_PUL3,0,0.01,0.655,0.7915407854984895,200,0.7368679046630859
GAE_PUL4,0,0.01,0.69,0.8165680473372781,200,0.8376326560974121
AE_PUL,1,0.01,0.695,0.8200589970501475,200,0.654437780380249
GAE_PUL1,1,0.01,0.65,0.787878787878788,200,0.7475810050964355
GAE_PUL2,1,0.01,0.7,0.8235294117647058,200,0.7527768611907959
GAE_PUL3,1,0.01,0.645,0.78419452887538,200,0.7490830421447754
GAE_PUL4,1,0.01,0.705,0.8269794721407624,200,0.7390105724334717
AE_PUL,2,0.01,0.685,0.8130563798219584,200,0.6313776969909668
GAE_PUL1,2,0.01,0.655,0.7915407854984895,200,0.7361507415771484
GAE_PUL2,2,0.01,0.705,0.8269794721407624,200,0.7334096431732178
GAE_PUL3,2,0.01,0.665,0.7987987987987988,200,0.7307155132293701
GAE_PUL4,2,0.01,0.7,0.8235294117647058,200,0.7423274517059326
AE_PUL,3,0.01,0.685,0.8130563798219584,200,0.6436412334442139
GAE_PUL1,3,0.01,0.675,0.8059701492537313,200,0.7439696788787842
GAE_PUL2,3,0.01,0.685,0.8130563798219584,200,0.7303755283355713
GAE_PUL3,3,0.01,0.655,0.7915407854984895,200,0.7480604648590088
GAE_PUL4,3,0.01,0.68,0.8095238095238095,200,0.76877760887146
AE_PUL,4,0.01,0.7,0.8235294117647058,200,0.6329727172851562
GAE_PUL1,4,0.01,0.665,0.7987987987987988,200,0.7361114025115967
GAE_PUL2,4,0.01,0.7,0.8235294117647058,200,0.7560372352600098
GAE_PUL3,4,0.01,0.67,0.8023952095808384,200,0.7294158935546875
GAE_PUL4,4,0.01,0.7,0.8235294117647058,200,0.7329437732696533
AE_PUL,5,0.01,0.685,0.8130563798219584,200,0.6365132331848145
GAE_PUL1,5,0.01,0.65,0.787878787878788,200,0.7285616397857666
GAE_PUL2,5,0.01,0.705,0.8269794721407624,200,0.7298345565795898
