Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f4c0>,0,0.01,0.87,0.9304812834224598,200,6.589315176010132
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c5e0>,1,0.01,0.87,0.9304812834224598,200,6.553011894226074
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d690>,2,0.01,0.87,0.9304812834224598,200,6.552903652191162
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fa00>,3,0.01,0.87,0.9304812834224598,200,6.556381702423096
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411ca90>,4,0.01,0.87,0.9304812834224598,200,6.580812692642212
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411dba0>,5,0.01,0.87,0.9304812834224598,200,6.532551527023315
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e2c0>,6,0.01,0.87,0.9304812834224598,200,6.580873250961304
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d3c0>,7,0.01,0.87,0.9304812834224598,200,6.553875684738159
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c1f0>,8,0.01,0.87,0.9304812834224598,200,6.542924642562866
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e7d0>,9,0.01,0.87,0.9304812834224598,200,6.543113708496094
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d9f0>,0,0.02,0.87,0.9304812834224598,200,6.537688493728638
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d780>,1,0.02,0.87,0.9304812834224598,200,6.552551984786987
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d960>,2,0.02,0.87,0.9304812834224598,200,6.585086107254028
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fd60>,3,0.02,0.87,0.9304812834224598,200,6.548906326293945
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fb80>,4,0.02,0.87,0.9304812834224598,200,6.557429552078247
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c640>,5,0.02,0.87,0.9304812834224598,200,6.528426170349121
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411dab0>,6,0.02,0.87,0.9304812834224598,200,6.540597438812256
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fbb0>,7,0.02,0.875,0.9333333333333333,200,6.518014192581177
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411ec80>,8,0.02,0.87,0.9304812834224598,200,6.504966974258423
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e830>,9,0.02,0.87,0.9304812834224598,200,6.602278232574463
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c580>,0,0.03,0.87,0.9304812834224598,200,6.511038780212402
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fa60>,1,0.03,0.87,0.9304812834224598,200,6.604648113250732
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fcd0>,2,0.03,0.87,0.9304812834224598,200,6.55375075340271
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d240>,3,0.03,0.87,0.9304812834224598,200,6.513838529586792
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e920>,4,0.03,0.87,0.9304812834224598,200,6.508856773376465
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e800>,5,0.03,0.87,0.9304812834224598,200,6.526381015777588
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411cf10>,6,0.03,0.87,0.9304812834224598,200,6.560140609741211
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411ea40>,7,0.03,0.87,0.9304812834224598,200,6.531229496002197
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e860>,8,0.03,0.87,0.9304812834224598,200,6.505198955535889
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411df00>,9,0.03,0.87,0.9304812834224598,200,6.501405239105225
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411faf0>,0,0.04,0.87,0.9304812834224598,200,6.523386240005493
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c970>,1,0.04,0.875,0.9333333333333333,200,6.552734613418579
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411e440>,2,0.04,0.87,0.9304812834224598,200,6.523995637893677
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c6a0>,3,0.04,0.87,0.9304812834224598,200,6.519172191619873
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c910>,4,0.04,0.87,0.9304812834224598,200,6.520662546157837
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f820>,5,0.04,0.87,0.9304812834224598,200,6.522337198257446
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c760>,6,0.04,0.875,0.9333333333333333,200,6.513947010040283
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411dbd0>,7,0.04,0.87,0.9304812834224598,200,6.515254974365234
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c7f0>,8,0.04,0.875,0.9333333333333333,200,6.508460283279419
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f460>,9,0.04,0.87,0.9304812834224598,200,6.538831949234009
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c400>,0,0.05,0.88,0.9361702127659575,200,6.52335786819458
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411ed40>,1,0.05,0.88,0.9361702127659575,200,6.502583980560303
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411fd30>,2,0.05,0.87,0.9304812834224598,200,6.514619588851929
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c9d0>,3,0.05,0.875,0.9333333333333333,200,6.515389919281006
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f010>,4,0.05,0.87,0.9304812834224598,200,6.512675762176514
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411ca30>,5,0.05,0.87,0.9304812834224598,200,6.513120651245117
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411dea0>,6,0.05,0.87,0.9304812834224598,200,6.514461040496826
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c940>,7,0.05,0.87,0.9304812834224598,200,6.500300884246826
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f280>,8,0.05,0.87,0.9304812834224598,200,6.538068056106567
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c370>,9,0.05,0.87,0.9304812834224598,200,6.5109312534332275
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411d300>,0,0.1,0.88,0.9361702127659575,200,6.531835317611694
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411eaa0>,1,0.1,0.875,0.9333333333333333,200,6.524116277694702
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f220>,2,0.1,0.885,0.9389920424403183,200,6.524415731430054
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411f520>,3,0.1,0.875,0.9333333333333333,200,6.504337787628174
<Algoritmos.PU_LP.PU_LP object at 0x7f9b6411c8b0>,4,0.1,0.88,0.9361702127659575,200,6.550562858581543
