Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
AE_PUL,0,0.01,0.82,0.9010989010989011,50,0.023862600326538086
GAE_PUL1,0,0.01,0.82,0.9010989010989011,50,0.02593517303466797
GAE_PUL2,0,0.01,0.84,0.9130434782608696,50,0.022984743118286133
GAE_PUL3,0,0.01,0.82,0.9010989010989011,50,0.022333860397338867
GAE_PUL4,0,0.01,0.78,0.8764044943820225,50,0.023307323455810547
AE_PUL,1,0.01,0.8,0.888888888888889,50,0.015359163284301758
GAE_PUL1,1,0.01,0.82,0.9010989010989011,50,0.022309541702270508
GAE_PUL2,1,0.01,0.8,0.888888888888889,50,0.023631572723388672
GAE_PUL3,1,0.01,0.8,0.888888888888889,50,0.02251267433166504
GAE_PUL4,1,0.01,0.78,0.8764044943820225,50,0.024179697036743164
AE_PUL,2,0.01,0.82,0.9010989010989011,50,0.015810012817382812
GAE_PUL1,2,0.01,0.82,0.9010989010989011,50,0.02231287956237793
GAE_PUL2,2,0.01,0.84,0.9130434782608696,50,0.023132801055908203
GAE_PUL3,2,0.01,0.8,0.888888888888889,50,0.022097349166870117
GAE_PUL4,2,0.01,0.8,0.888888888888889,50,0.022740840911865234
AE_PUL,3,0.01,0.84,0.9130434782608696,50,0.015516519546508789
GAE_PUL1,3,0.01,0.84,0.9130434782608696,50,0.022607088088989258
GAE_PUL2,3,0.01,0.8,0.888888888888889,50,0.023041725158691406
GAE_PUL3,3,0.01,0.78,0.8764044943820225,50,0.022169828414916992
GAE_PUL4,3,0.01,0.78,0.8764044943820225,50,0.023594379425048828
AE_PUL,4,0.01,0.8,0.888888888888889,50,0.015488624572753906
GAE_PUL1,4,0.01,0.78,0.8764044943820225,50,0.022376537322998047
GAE_PUL2,4,0.01,0.78,0.8764044943820225,50,0.02421426773071289
GAE_PUL3,4,0.01,0.82,0.9010989010989011,50,0.022296905517578125
GAE_PUL4,4,0.01,0.78,0.8764044943820225,50,0.023746967315673828
AE_PUL,5,0.01,0.8,0.888888888888889,50,0.015546798706054688
GAE_PUL1,5,0.01,0.8,0.888888888888889,50,0.022341012954711914
GAE_PUL2,5,0.01,0.8,0.888888888888889,50,0.023552894592285156
GAE_PUL3,5,0.01,0.82,0.9010989010989011,50,0.023633956909179688
GAE_PUL4,5,0.01,0.78,0.8764044943820225,50,0.024182558059692383
AE_PUL,6,0.01,0.82,0.9010989010989011,50,0.01609206199645996
GAE_PUL1,6,0.01,0.78,0.8764044943820225,50,0.023045778274536133
GAE_PUL2,6,0.01,0.8,0.888888888888889,50,0.023584604263305664
GAE_PUL3,6,0.01,0.78,0.8764044943820225,50,0.02388310432434082
GAE_PUL4,6,0.01,0.8,0.888888888888889,50,0.023502588272094727
AE_PUL,7,0.01,0.8,0.888888888888889,50,0.016079425811767578
GAE_PUL1,7,0.01,0.82,0.9010989010989011,50,0.023589611053466797
GAE_PUL2,7,0.01,0.8,0.888888888888889,50,0.023729801177978516
GAE_PUL3,7,0.01,0.8,0.888888888888889,50,0.023027896881103516
GAE_PUL4,7,0.01,0.78,0.8764044943820225,50,0.023618221282958984
AE_PUL,8,0.01,0.82,0.9010989010989011,50,0.016065359115600586
GAE_PUL1,8,0.01,0.8,0.888888888888889,50,0.023241281509399414
GAE_PUL2,8,0.01,0.78,0.8764044943820225,50,0.02504110336303711
GAE_PUL3,8,0.01,0.82,0.9010989010989011,50,0.023096561431884766
GAE_PUL4,8,0.01,0.82,0.9010989010989011,50,0.023380756378173828
AE_PUL,9,0.01,0.78,0.8764044943820225,50,0.01591777801513672
GAE_PUL1,9,0.01,0.8,0.888888888888889,50,0.0243527889251709
GAE_PUL2,9,0.01,0.76,0.8636363636363636,50,0.03978323936462402
GAE_PUL3,9,0.01,0.78,0.8764044943820225,50,0.02215123176574707
GAE_PUL4,9,0.01,0.78,0.8764044943820225,50,0.023014307022094727
AE_PUL,0,0.02,0.8,0.888888888888889,50,0.01575160026550293
GAE_PUL1,0,0.02,0.76,0.8636363636363636,50,0.022516727447509766
GAE_PUL2,0,0.02,0.8,0.888888888888889,50,0.023637771606445312
GAE_PUL3,0,0.02,0.78,0.8764044943820225,50,0.022122621536254883
GAE_PUL4,0,0.02,0.8,0.888888888888889,50,0.023213863372802734
AE_PUL,1,0.02,0.8,0.888888888888889,50,0.015759706497192383
GAE_PUL1,1,0.02,0.82,0.9010989010989011,50,0.02240276336669922
GAE_PUL2,1,0.02,0.8,0.888888888888889,50,0.024090290069580078
GAE_PUL3,1,0.02,0.82,0.9010989010989011,50,0.022624969482421875
GAE_PUL4,1,0.02,0.8,0.888888888888889,50,0.02391362190246582
AE_PUL,2,0.02,0.84,0.9130434782608696,50,0.015794992446899414
GAE_PUL1,2,0.02,0.78,0.8764044943820225,50,0.023049116134643555
GAE_PUL2,2,0.02,0.84,0.9130434782608696,50,0.02337479591369629
GAE_PUL3,2,0.02,0.76,0.8636363636363636,50,0.023256778717041016
GAE_PUL4,2,0.02,0.78,0.8764044943820225,50,0.023442745208740234
AE_PUL,3,0.02,0.78,0.8764044943820225,50,0.016359567642211914
GAE_PUL1,3,0.02,0.82,0.9010989010989011,50,0.022406578063964844
GAE_PUL2,3,0.02,0.82,0.9010989010989011,50,0.023403167724609375
GAE_PUL3,3,0.02,0.8,0.888888888888889,50,0.02227497100830078
GAE_PUL4,3,0.02,0.8,0.888888888888889,50,0.022871971130371094
AE_PUL,4,0.02,0.84,0.9130434782608696,50,0.015366077423095703
GAE_PUL1,4,0.02,0.84,0.9130434782608696,50,0.022047996520996094
GAE_PUL2,4,0.02,0.84,0.9130434782608696,50,0.02319502830505371
GAE_PUL3,4,0.02,0.8,0.888888888888889,50,0.022433996200561523
GAE_PUL4,4,0.02,0.78,0.8764044943820225,50,0.024051427841186523
AE_PUL,5,0.02,0.8,0.888888888888889,50,0.016912221908569336
GAE_PUL1,5,0.02,0.8,0.888888888888889,50,0.0233306884765625
GAE_PUL2,5,0.02,0.8,0.888888888888889,50,0.02422165870666504
GAE_PUL3,5,0.02,0.8,0.888888888888889,50,0.02252340316772461
GAE_PUL4,5,0.02,0.82,0.9010989010989011,50,0.02330613136291504
AE_PUL,6,0.02,0.8,0.888888888888889,50,0.01592421531677246
GAE_PUL1,6,0.02,0.78,0.8764044943820225,50,0.022485017776489258
GAE_PUL2,6,0.02,0.82,0.9010989010989011,50,0.02322101593017578
GAE_PUL3,6,0.02,0.82,0.9010989010989011,50,0.022142887115478516
GAE_PUL4,6,0.02,0.84,0.9130434782608696,50,0.024425983428955078
AE_PUL,7,0.02,0.8,0.888888888888889,50,0.016367435455322266
GAE_PUL1,7,0.02,0.86,0.924731182795699,50,0.022942543029785156
GAE_PUL2,7,0.02,0.84,0.9130434782608696,50,0.0235595703125
GAE_PUL3,7,0.02,0.8,0.888888888888889,50,0.023406267166137695
GAE_PUL4,7,0.02,0.84,0.9130434782608696,50,0.023543834686279297
AE_PUL,8,0.02,0.78,0.8764044943820225,50,0.016210556030273438
GAE_PUL1,8,0.02,0.84,0.9130434782608696,50,0.0233306884765625
GAE_PUL2,8,0.02,0.78,0.8764044943820225,50,0.0240628719329834
GAE_PUL3,8,0.02,0.78,0.8764044943820225,50,0.0233151912689209
GAE_PUL4,8,0.02,0.78,0.8764044943820225,50,0.023917198181152344
AE_PUL,9,0.02,0.8,0.888888888888889,50,0.016180992126464844
GAE_PUL1,9,0.02,0.86,0.924731182795699,50,0.02292466163635254
GAE_PUL2,9,0.02,0.8,0.888888888888889,50,0.02426290512084961
GAE_PUL3,9,0.02,0.78,0.8764044943820225,50,0.02297806739807129
GAE_PUL4,9,0.02,0.8,0.888888888888889,50,0.02372002601623535
AE_PUL,0,0.03,0.76,0.8636363636363636,50,0.015407800674438477
GAE_PUL1,0,0.03,0.8,0.888888888888889,50,0.02222418785095215
GAE_PUL2,0,0.03,0.8,0.888888888888889,50,0.02371525764465332
GAE_PUL3,0,0.03,0.82,0.9010989010989011,50,0.02240133285522461
