Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fc718a30>,0,0.01,0.68,0.8095238095238095,200,0.022025585174560547
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa413d00>,1,0.01,0.685,0.8130563798219584,200,0.02223372459411621
<Algoritmos.CCRNE.CCRNE object at 0x7fe4d8217d00>,2,0.01,0.71,0.8304093567251462,200,0.022731542587280273
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa442530>,3,0.01,0.675,0.8059701492537313,200,0.03110504150390625
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa442c80>,4,0.01,0.67,0.8023952095808384,200,0.024578571319580078
<Algoritmos.CCRNE.CCRNE object at 0x7fe4d824c550>,5,0.01,0.645,0.78419452887538,200,0.03413844108581543
<Algoritmos.CCRNE.CCRNE object at 0x7fe4d824c130>,6,0.01,0.695,0.8200589970501475,200,0.02153754234313965
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa474f10>,7,0.01,0.695,0.8200589970501475,200,0.02686619758605957
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475060>,8,0.01,0.68,0.8095238095238095,200,0.024121761322021484
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa474fa0>,9,0.01,0.7,0.8235294117647058,200,0.027994394302368164
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fc71a620>,0,0.02,0.69,0.8165680473372781,200,0.02226853370666504
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475bd0>,1,0.02,0.7,0.8235294117647058,200,0.02074265480041504
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475870>,2,0.02,0.705,0.8269794721407624,200,0.02236032485961914
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4755d0>,3,0.02,0.67,0.8023952095808384,200,0.023294925689697266
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475480>,4,0.02,0.69,0.8165680473372781,200,0.028016328811645508
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475630>,5,0.02,0.685,0.8130563798219584,200,0.020624399185180664
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa474eb0>,6,0.02,0.645,0.78419452887538,200,0.02375483512878418
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475cc0>,7,0.02,0.695,0.8200589970501475,200,0.027730226516723633
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475cf0>,8,0.02,0.685,0.8130563798219584,200,0.0255279541015625
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa474dc0>,9,0.02,0.63,0.7730061349693252,200,0.021303892135620117
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475c90>,0,0.03,0.65,0.787878787878788,200,0.022740840911865234
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475d80>,1,0.03,0.705,0.8269794721407624,200,0.02122664451599121
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475db0>,2,0.03,0.73,0.8439306358381503,200,0.020549774169921875
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475e40>,3,0.03,0.655,0.7915407854984895,200,0.025124549865722656
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475c60>,4,0.03,0.68,0.8095238095238095,200,0.026142358779907227
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475c30>,5,0.03,0.715,0.8338192419825073,200,0.021131515502929688
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475ea0>,6,0.03,0.755,0.8603988603988605,200,0.020058870315551758
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475ed0>,7,0.03,0.715,0.8338192419825073,200,0.023792505264282227
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4750c0>,8,0.03,0.685,0.8130563798219584,200,0.02184009552001953
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475f90>,9,0.03,0.665,0.7987987987987988,200,0.0237274169921875
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475e10>,0,0.04,0.7,0.8235294117647058,200,0.02387380599975586
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475d50>,1,0.04,0.735,0.8472622478386168,200,0.024084091186523438
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476020>,2,0.04,0.72,0.8372093023255813,200,0.022854328155517578
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476050>,3,0.04,0.75,0.8571428571428571,200,0.021906137466430664
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475e70>,4,0.04,0.71,0.8304093567251462,200,0.030882596969604492
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4760e0>,5,0.04,0.67,0.8023952095808384,200,0.022070646286010742
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476110>,6,0.04,0.72,0.8372093023255813,200,0.022600889205932617
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476140>,7,0.04,0.715,0.8338192419825073,200,0.014938592910766602
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4760b0>,8,0.04,0.73,0.8439306358381503,200,0.03541755676269531
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4753f0>,9,0.04,0.685,0.8130563798219584,200,0.02551555633544922
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476080>,0,0.05,0.735,0.8472622478386168,200,0.021972179412841797
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa475fc0>,1,0.05,0.685,0.8130563798219584,200,0.022408485412597656
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476230>,2,0.05,0.67,0.8023952095808384,200,0.02321910858154297
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4761d0>,3,0.05,0.705,0.8269794721407624,200,0.0304412841796875
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4762c0>,4,0.05,0.715,0.8338192419825073,200,0.02229475975036621
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4762f0>,5,0.05,0.7,0.8235294117647058,200,0.02502131462097168
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476320>,6,0.05,0.66,0.7951807228915663,200,0.024333715438842773
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476350>,7,0.05,0.635,0.7767584097859327,200,0.02716684341430664
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476380>,8,0.05,0.695,0.8200589970501475,200,0.024496793746948242
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4763b0>,9,0.05,0.74,0.8505747126436781,200,0.024252653121948242
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4763e0>,0,0.1,0.73,0.8439306358381503,200,0.024497032165527344
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476410>,1,0.1,0.7,0.8235294117647058,200,0.024484872817993164
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476440>,2,0.1,0.735,0.8472622478386168,200,0.017464160919189453
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476470>,3,0.1,0.705,0.8269794721407624,200,0.02667713165283203
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4764a0>,4,0.1,0.725,0.8405797101449275,200,0.02772068977355957
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4764d0>,5,0.1,0.66,0.7951807228915663,200,0.02797722816467285
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476500>,6,0.1,0.72,0.8372093023255813,200,0.030208587646484375
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476530>,7,0.1,0.725,0.8405797101449275,200,0.02390766143798828
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476560>,8,0.1,0.725,0.8405797101449275,200,0.025613069534301758
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476590>,9,0.1,0.725,0.8405797101449275,200,0.03144264221191406
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4765c0>,0,0.15,0.725,0.8405797101449275,200,0.02901625633239746
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4765f0>,1,0.15,0.73,0.8439306358381503,200,0.026569366455078125
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476620>,2,0.15,0.74,0.8505747126436781,200,0.029939651489257812
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476650>,3,0.15,0.75,0.8571428571428571,200,0.026944637298583984
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476680>,4,0.15,0.71,0.8304093567251462,200,0.027215003967285156
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4766b0>,5,0.15,0.735,0.8472622478386168,200,0.026349782943725586
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4766e0>,6,0.15,0.7,0.8235294117647058,200,0.033028364181518555
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476710>,7,0.15,0.76,0.8636363636363636,200,0.02961564064025879
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476740>,8,0.15,0.73,0.8439306358381503,200,0.02727818489074707
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476770>,9,0.15,0.715,0.8338192419825073,200,0.02892279624938965
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4767a0>,0,0.2,0.715,0.8338192419825073,200,0.036458492279052734
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4767d0>,1,0.2,0.735,0.8472622478386168,200,0.027855634689331055
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476800>,2,0.2,0.765,0.8668555240793201,200,0.020632028579711914
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476830>,3,0.2,0.735,0.8472622478386168,200,0.03477597236633301
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476860>,4,0.2,0.695,0.8200589970501475,200,0.029569149017333984
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476890>,5,0.2,0.715,0.8338192419825073,200,0.027659893035888672
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4768c0>,6,0.2,0.725,0.8405797101449275,200,0.02760910987854004
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4768f0>,7,0.2,0.725,0.8405797101449275,200,0.027034282684326172
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476920>,8,0.2,0.725,0.8405797101449275,200,0.03806567192077637
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476950>,9,0.2,0.73,0.8439306358381503,200,0.027434825897216797
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476980>,0,0.25,0.7,0.8235294117647058,200,0.0307159423828125
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4769b0>,1,0.25,0.725,0.8405797101449275,200,0.02863907814025879
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa4769e0>,2,0.25,0.735,0.8472622478386168,200,0.029293298721313477
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476a10>,3,0.25,0.755,0.8603988603988605,200,0.030727148056030273
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476a40>,4,0.25,0.765,0.8668555240793201,200,0.03963494300842285
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476a70>,5,0.25,0.745,0.8538681948424068,200,0.03014993667602539
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476aa0>,6,0.25,0.71,0.8304093567251462,200,0.028989076614379883
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476ad0>,7,0.25,0.73,0.8439306358381503,200,0.05386018753051758
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476b00>,8,0.25,0.77,0.8700564971751412,200,0.03678393363952637
<Algoritmos.CCRNE.CCRNE object at 0x7fe3fa476b30>,9,0.25,0.715,0.8338192419825073,200,0.03767037391662598
