Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D598CA5E90>,0,0.01,0.795,0.8857938718662953,200,0.13703083992004395
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3A5D0>,1,0.01,0.77,0.8700564971751412,200,0.1690382957458496
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3AB10>,2,0.01,0.785,0.8795518207282913,200,0.16403722763061523
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3AD90>,3,0.01,0.785,0.8795518207282913,200,0.14503240585327148
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3AFD0>,4,0.01,0.81,0.8950276243093923,200,0.18104076385498047
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B510>,5,0.01,0.755,0.8603988603988605,200,0.1400318145751953
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B310>,6,0.01,0.8,0.888888888888889,200,0.16303706169128418
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B750>,7,0.01,0.79,0.8826815642458101,200,0.13403034210205078
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B790>,8,0.01,0.775,0.8732394366197184,200,0.18304133415222168
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B290>,9,0.01,0.775,0.8732394366197184,200,0.13203001022338867
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BAD0>,0,0.02,0.805,0.89196675900277,200,0.42209577560424805
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B810>,1,0.02,0.815,0.8980716253443526,200,0.3360762596130371
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BB50>,2,0.02,0.78,0.8764044943820225,200,0.4120931625366211
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B9D0>,3,0.02,0.78,0.8764044943820225,200,0.3990902900695801
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B7D0>,4,0.02,0.825,0.9041095890410958,200,0.3690829277038574
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B890>,5,0.02,0.835,0.9100817438692098,200,0.37708544731140137
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B690>,6,0.02,0.815,0.8980716253443526,200,0.31507158279418945
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BBD0>,7,0.02,0.795,0.8857938718662953,200,0.41109299659729004
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BD10>,8,0.02,0.79,0.8826815642458101,200,0.3470783233642578
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BCD0>,9,0.02,0.795,0.8857938718662953,200,0.4971120357513428
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BF10>,0,0.03,0.805,0.89196675900277,200,0.5211181640625
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3BFD0>,1,0.03,0.82,0.9010989010989011,200,0.4501016139984131
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F3B950>,2,0.03,0.795,0.8857938718662953,200,0.46010422706604004
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48190>,3,0.03,0.805,0.89196675900277,200,0.5051143169403076
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48110>,4,0.03,0.815,0.8980716253443526,200,0.573129415512085
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48090>,5,0.03,0.815,0.8980716253443526,200,0.499112606048584
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48350>,6,0.03,0.81,0.8950276243093923,200,0.4320974349975586
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F481D0>,7,0.03,0.795,0.8857938718662953,200,0.5391221046447754
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48250>,8,0.03,0.805,0.89196675900277,200,0.5231180191040039
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F483D0>,9,0.03,0.815,0.8980716253443526,200,0.6431453227996826
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F486D0>,0,0.04,0.81,0.8950276243093923,200,0.7331657409667969
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48290>,1,0.04,0.82,0.9010989010989011,200,0.635143518447876
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F487D0>,2,0.04,0.825,0.9041095890410958,200,0.6541476249694824
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F488D0>,3,0.04,0.795,0.8857938718662953,200,0.7191629409790039
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F489D0>,4,0.04,0.82,0.9010989010989011,200,0.708160400390625
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48AD0>,5,0.04,0.81,0.8950276243093923,200,0.7111611366271973
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48BD0>,6,0.04,0.805,0.89196675900277,200,0.90720534324646
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48CD0>,7,0.04,0.785,0.8795518207282913,200,0.7141618728637695
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48DD0>,8,0.04,0.82,0.9010989010989011,200,0.747168779373169
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48ED0>,9,0.04,0.805,0.89196675900277,200,0.7411675453186035
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F48FD0>,0,0.05,0.8,0.888888888888889,200,0.7451686859130859
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F491D0>,1,0.05,0.845,0.9159891598915989,200,0.8401901721954346
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F492D0>,2,0.05,0.81,0.8950276243093923,200,0.8241860866546631
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F493D0>,3,0.05,0.8,0.888888888888889,200,0.8601946830749512
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F494D0>,4,0.05,0.82,0.9010989010989011,200,0.9062044620513916
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F495D0>,5,0.05,0.805,0.89196675900277,200,0.7911789417266846
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F496D0>,6,0.05,0.81,0.8950276243093923,200,0.9882230758666992
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F497D0>,7,0.05,0.8,0.888888888888889,200,0.8411900997161865
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F498D0>,8,0.05,0.79,0.8826815642458101,200,0.860194206237793
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F499D0>,9,0.05,0.825,0.9041095890410958,200,0.9922242164611816
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F49AD0>,0,0.1,0.825,0.9041095890410958,200,1.767399549484253
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F490D0>,1,0.1,0.825,0.9041095890410958,200,1.7343921661376953
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F49BD0>,2,0.1,0.815,0.8980716253443526,200,1.7964057922363281
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F49CD0>,3,0.1,0.825,0.9041095890410958,200,1.6983835697174072
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F49DD0>,4,0.1,0.835,0.9100817438692098,200,1.5843586921691895
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F49ED0>,5,0.1,0.82,0.9010989010989011,200,1.7643983364105225
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F49FD0>,6,0.1,0.82,0.9010989010989011,200,1.719388484954834
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A0D0>,7,0.1,0.815,0.8980716253443526,200,1.7994065284729004
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A1D0>,8,0.1,0.815,0.8980716253443526,200,1.779402256011963
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A2D0>,9,0.1,0.85,0.9189189189189189,200,1.7964062690734863
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A590>,0,0.15,0.82,0.9010989010989011,200,2.526571035385132
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A350>,1,0.15,0.83,0.9071038251366119,200,2.5565779209136963
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AA50>,2,0.15,0.82,0.9010989010989011,200,2.4955642223358154
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AA10>,3,0.15,0.82,0.9010989010989011,200,2.568580150604248
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A990>,4,0.15,0.845,0.9159891598915989,200,2.7976324558258057
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AC90>,5,0.15,0.83,0.9071038251366119,200,2.625593900680542
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AD90>,6,0.15,0.825,0.9041095890410958,200,2.517569065093994
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4A850>,7,0.15,0.83,0.9071038251366119,200,2.678605318069458
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AE90>,8,0.15,0.82,0.9010989010989011,200,2.7466208934783936
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AF90>,9,0.15,0.84,0.9130434782608696,200,2.577582359313965
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4AB10>,0,0.2,0.835,0.9100817438692098,200,3.3897664546966553
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B090>,1,0.2,0.83,0.9071038251366119,200,3.325752019882202
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B190>,2,0.2,0.83,0.9071038251366119,200,3.1097028255462646
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B290>,3,0.2,0.835,0.9100817438692098,200,3.162714958190918
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B490>,4,0.2,0.84,0.9130434782608696,200,3.4167721271514893
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B390>,5,0.2,0.84,0.9130434782608696,200,3.437776565551758
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B690>,6,0.2,0.85,0.9189189189189189,200,3.4797863960266113
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B890>,7,0.2,0.835,0.9100817438692098,200,3.126707077026367
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B590>,8,0.2,0.84,0.9130434782608696,200,3.488788604736328
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4B790>,9,0.2,0.83,0.9071038251366119,200,3.5568037033081055
<Algoritmos.LP_PUL.LP_PUL object at 0x000001D599F4BA90>,0,0.25,0.855,0.921832884097035,200,4.036912202835083
