Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4a30>,0,0.01,0.62,0.7654320987654321,200,0.9048576354980469
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5e10>,1,0.01,0.705,0.8269794721407624,200,0.9809060096740723
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7070>,2,0.01,0.655,0.7915407854984895,200,0.7611854076385498
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5e70>,3,0.01,0.7,0.8235294117647058,200,0.9310240745544434
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5780>,4,0.01,0.68,0.8095238095238095,200,1.0810494422912598
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6ce0>,5,0.01,0.735,0.8472622478386168,200,0.7263214588165283
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd6dd0>,6,0.01,0.69,0.8165680473372781,200,0.666853666305542
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5180>,7,0.01,0.65,0.787878787878788,200,1.0617797374725342
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5300>,8,0.01,0.725,0.8405797101449275,200,0.8834373950958252
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4730>,9,0.01,0.705,0.8269794721407624,200,0.8009026050567627
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7130>,0,0.02,0.7,0.8235294117647058,200,1.017521858215332
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7970>,1,0.02,0.705,0.8269794721407624,200,0.7281703948974609
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4b20>,2,0.02,0.73,0.8439306358381503,200,0.9693179130554199
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7760>,3,0.02,0.74,0.8505747126436781,200,0.9440639019012451
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5930>,4,0.02,0.735,0.8472622478386168,200,0.9362685680389404
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7340>,5,0.02,0.635,0.7767584097859327,200,0.8445274829864502
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7610>,6,0.02,0.635,0.7767584097859327,200,0.8060393333435059
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4f70>,7,0.02,0.655,0.7915407854984895,200,0.7228720188140869
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5900>,8,0.02,0.75,0.8571428571428571,200,0.9659531116485596
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd63e0>,9,0.02,0.735,0.8472622478386168,200,1.0458667278289795
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd7be0>,0,0.03,0.71,0.8304093567251462,200,0.8153636455535889
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd4790>,1,0.03,0.735,0.8472622478386168,200,0.8554093837738037
<Algoritmos.MCLS.MCLS object at 0x7f9b71bd5390>,2,0.03,0.7,0.8235294117647058,200,0.6894011497497559
