Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
AE_PUL,0,0.01,1.0,1.0,200,0.13703131675720215
GAE_PUL1,0,0.01,1.0,1.0,200,0.19104313850402832
GAE_PUL2,0,0.01,1.0,1.0,200,0.1850419044494629
GAE_PUL3,0,0.01,1.0,1.0,200,0.19004249572753906
GAE_PUL4,0,0.01,1.0,1.0,200,0.17303872108459473
AE_PUL,1,0.01,1.0,1.0,200,0.11302614212036133
GAE_PUL1,1,0.01,1.0,1.0,200,0.17403960227966309
GAE_PUL2,1,0.01,1.0,1.0,200,0.18204140663146973
GAE_PUL3,1,0.01,1.0,1.0,200,0.1850416660308838
GAE_PUL4,1,0.01,1.0,1.0,200,0.17904019355773926
AE_PUL,2,0.01,1.0,1.0,200,0.10602378845214844
GAE_PUL1,2,0.01,1.0,1.0,200,0.17303919792175293
GAE_PUL2,2,0.01,1.0,1.0,200,0.18404102325439453
GAE_PUL3,2,0.01,1.0,1.0,200,0.1670382022857666
GAE_PUL4,2,0.01,1.0,1.0,200,0.1780405044555664
AE_PUL,3,0.01,1.0,1.0,200,0.10202312469482422
GAE_PUL1,3,0.01,1.0,1.0,200,0.18104076385498047
GAE_PUL2,3,0.01,1.0,1.0,200,0.1890428066253662
GAE_PUL3,3,0.01,1.0,1.0,200,0.1870419979095459
GAE_PUL4,3,0.01,1.0,1.0,200,0.19304370880126953
AE_PUL,4,0.01,1.0,1.0,200,0.10802459716796875
GAE_PUL1,4,0.01,1.0,1.0,200,0.18504118919372559
GAE_PUL2,4,0.01,1.0,1.0,200,0.18204164505004883
GAE_PUL3,4,0.01,1.0,1.0,200,0.1780397891998291
GAE_PUL4,4,0.01,1.0,1.0,200,0.1890418529510498
AE_PUL,5,0.01,1.0,1.0,200,0.10502290725708008
GAE_PUL1,5,0.01,1.0,1.0,200,0.17703962326049805
GAE_PUL2,5,0.01,1.0,1.0,200,0.17904114723205566
GAE_PUL3,5,0.01,1.0,1.0,200,0.1760396957397461
GAE_PUL4,5,0.01,1.0,1.0,200,0.17904043197631836
AE_PUL,6,0.01,1.0,1.0,200,0.10202288627624512
GAE_PUL1,6,0.01,1.0,1.0,200,0.1850419044494629
GAE_PUL2,6,0.01,1.0,1.0,200,0.18504118919372559
GAE_PUL3,6,0.01,1.0,1.0,200,0.17203879356384277
GAE_PUL4,6,0.01,1.0,1.0,200,0.18104052543640137
AE_PUL,7,0.01,1.0,1.0,200,0.11102557182312012
GAE_PUL1,7,0.01,1.0,1.0,200,0.17303919792175293
GAE_PUL2,7,0.01,1.0,1.0,200,0.18204069137573242
GAE_PUL3,7,0.01,1.0,1.0,200,0.17403960227966309
GAE_PUL4,7,0.01,1.0,1.0,200,0.18104100227355957
AE_PUL,8,0.01,1.0,1.0,200,0.10302352905273438
GAE_PUL1,8,0.01,1.0,1.0,200,0.17904090881347656
GAE_PUL2,8,0.01,1.0,1.0,200,0.1850419044494629
GAE_PUL3,8,0.01,1.0,1.0,200,0.1780397891998291
GAE_PUL4,8,0.01,1.0,1.0,200,0.17704010009765625
AE_PUL,9,0.01,1.0,1.0,200,0.11002516746520996
GAE_PUL1,9,0.01,1.0,1.0,200,0.18004059791564941
GAE_PUL2,9,0.01,1.0,1.0,200,0.1850419044494629
GAE_PUL3,9,0.01,1.0,1.0,200,0.17203879356384277
GAE_PUL4,9,0.01,1.0,1.0,200,0.1870424747467041
AE_PUL,0,0.02,1.0,1.0,200,0.11102533340454102
GAE_PUL1,0,0.02,1.0,1.0,200,0.1780402660369873
