Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970abd60>,0,0.01,0.69,0.8165680473372781,200,5.018274545669556
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab9a0>,1,0.01,0.69,0.8165680473372781,200,4.296045303344727
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970abaf0>,2,0.01,0.69,0.8165680473372781,200,4.609391212463379
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab880>,3,0.01,0.69,0.8165680473372781,200,4.413516283035278
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab8e0>,4,0.01,0.69,0.8165680473372781,200,4.283618927001953
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab6a0>,5,0.01,0.69,0.8165680473372781,200,4.577439069747925
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab640>,6,0.01,0.69,0.8165680473372781,200,4.587728023529053
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970abac0>,7,0.01,0.69,0.8165680473372781,200,5.564325332641602
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab820>,8,0.01,0.69,0.8165680473372781,200,4.551964044570923
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970aba90>,9,0.01,0.69,0.8165680473372781,200,4.390136003494263
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab6d0>,0,0.02,0.7,0.8235294117647058,200,4.523458957672119
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab940>,1,0.02,0.695,0.8200589970501475,200,4.982190847396851
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab460>,2,0.02,0.695,0.8200589970501475,200,4.655451536178589
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab400>,3,0.02,0.69,0.8165680473372781,200,4.5769689083099365
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab310>,4,0.02,0.69,0.8165680473372781,200,4.4812421798706055
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab370>,5,0.02,0.695,0.8200589970501475,200,4.786176919937134
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab2e0>,6,0.02,0.69,0.8165680473372781,200,4.5836451053619385
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab760>,7,0.02,0.7,0.8235294117647058,200,3.845839023590088
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab5e0>,8,0.02,0.69,0.8165680473372781,200,3.287806749343872
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab2b0>,9,0.02,0.69,0.8165680473372781,200,4.024593353271484
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab280>,0,0.03,0.69,0.8165680473372781,200,4.848236560821533
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab250>,1,0.03,0.69,0.8165680473372781,200,4.118499040603638
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab220>,2,0.03,0.695,0.8200589970501475,200,5.971118211746216
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab1f0>,3,0.03,0.695,0.8200589970501475,200,3.1856796741485596
<Algoritmos.PU_LP.PU_LP object at 0x7f3d970ab1c0>,4,0.03,0.695,0.8200589970501475,200,3.2730519771575928
