Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e6f1c0>,0,0.01,0.68,0.8095238095238095,200,0.12578082084655762
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e6efe0>,1,0.01,0.68,0.8095238095238095,200,0.12503385543823242
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e6eef0>,2,0.01,0.68,0.8095238095238095,200,0.10976314544677734
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e6ef80>,3,0.01,0.685,0.8130563798219584,200,0.11532449722290039
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e6f7f0>,4,0.01,0.685,0.8130563798219584,200,0.11372089385986328
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e6ef50>,5,0.01,0.68,0.8095238095238095,200,0.1167299747467041
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8d7e0>,6,0.01,0.68,0.8095238095238095,200,0.11079931259155273
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dab0>,7,0.01,0.68,0.8095238095238095,200,0.1191704273223877
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dba0>,8,0.01,0.68,0.8095238095238095,200,0.11085081100463867
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dc30>,9,0.01,0.685,0.8130563798219584,200,0.16614937782287598
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74e2c550>,0,0.02,0.69,0.8165680473372781,200,0.1146848201751709
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8de70>,1,0.02,0.68,0.8095238095238095,200,0.11462998390197754
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8de40>,2,0.02,0.69,0.8165680473372781,200,0.11067724227905273
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dde0>,3,0.02,0.685,0.8130563798219584,200,0.1025228500366211
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dea0>,4,0.02,0.68,0.8095238095238095,200,0.11566591262817383
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dd50>,5,0.02,0.695,0.8200589970501475,200,0.11999273300170898
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dd20>,6,0.02,0.685,0.8130563798219584,200,0.11102747917175293
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8df90>,7,0.02,0.695,0.8200589970501475,200,0.11250114440917969
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dfc0>,8,0.02,0.685,0.8130563798219584,200,0.12592482566833496
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dff0>,9,0.02,0.69,0.8165680473372781,200,0.11671018600463867
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e020>,0,0.03,0.695,0.8200589970501475,200,0.11942553520202637
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e380>,1,0.03,0.695,0.8200589970501475,200,0.10942363739013672
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e3b0>,2,0.03,0.69,0.8165680473372781,200,0.10536623001098633
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e3e0>,3,0.03,0.68,0.8095238095238095,200,0.10892724990844727
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e410>,4,0.03,0.69,0.8165680473372781,200,0.10994887351989746
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e440>,5,0.03,0.69,0.8165680473372781,200,0.1327650547027588
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e470>,6,0.03,0.685,0.8130563798219584,200,0.10410642623901367
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e4a0>,7,0.03,0.7,0.8235294117647058,200,0.10524225234985352
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e4d0>,8,0.03,0.695,0.8200589970501475,200,0.11245298385620117
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e530>,9,0.03,0.685,0.8130563798219584,200,0.11155176162719727
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e560>,0,0.04,0.685,0.8130563798219584,200,0.11248326301574707
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e590>,1,0.04,0.695,0.8200589970501475,200,0.10706138610839844
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e5c0>,2,0.04,0.685,0.8130563798219584,200,0.1094508171081543
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e5f0>,3,0.04,0.695,0.8200589970501475,200,0.11121630668640137
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e620>,4,0.04,0.695,0.8200589970501475,200,0.11380791664123535
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e650>,5,0.04,0.7,0.8235294117647058,200,0.1085500717163086
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e680>,6,0.04,0.695,0.8200589970501475,200,0.10733175277709961
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e6b0>,7,0.04,0.695,0.8200589970501475,200,0.1010129451751709
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e6e0>,8,0.04,0.69,0.8165680473372781,200,0.11402344703674316
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e710>,9,0.04,0.685,0.8130563798219584,200,0.10790586471557617
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e740>,0,0.05,0.7,0.8235294117647058,200,0.11739087104797363
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e770>,1,0.05,0.68,0.8095238095238095,200,0.13605070114135742
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e7d0>,2,0.05,0.705,0.8269794721407624,200,0.13336849212646484
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8de10>,3,0.05,0.685,0.8130563798219584,200,0.11459946632385254
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8df30>,4,0.05,0.68,0.8095238095238095,200,0.10366702079772949
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8df00>,5,0.05,0.7,0.8235294117647058,200,0.10863518714904785
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8df60>,6,0.05,0.695,0.8200589970501475,200,0.11389279365539551
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e830>,7,0.05,0.71,0.8304093567251462,200,0.11509943008422852
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dc60>,8,0.05,0.695,0.8200589970501475,200,0.11391687393188477
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dd80>,9,0.05,0.69,0.8165680473372781,200,0.10853171348571777
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8ded0>,0,0.1,0.695,0.8200589970501475,200,0.1067500114440918
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8ddb0>,1,0.1,0.71,0.8304093567251462,200,0.11454272270202637
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e800>,2,0.1,0.71,0.8304093567251462,200,0.11373400688171387
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dcf0>,3,0.1,0.71,0.8304093567251462,200,0.11046814918518066
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8d720>,4,0.1,0.715,0.8338192419825073,200,0.1250452995300293
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8e860>,5,0.1,0.715,0.8338192419825073,200,0.1077883243560791
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8db40>,6,0.1,0.715,0.8338192419825073,200,0.10581660270690918
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8d810>,7,0.1,0.7,0.8235294117647058,200,0.13146162033081055
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x7f3e74c8dcc0>,8,0.1,0.715,0.8338192419825073,200,0.11428117752075195
