Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC938A10>,0,0.01,0.26,0.41269841269841273,50,0.04100990295410156
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240C86B5DD0>,1,0.01,0.24,0.3870967741935484,50,0.03000664710998535
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC8DA610>,2,0.01,0.18,0.3050847457627119,50,0.03600811958312988
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC8A90D0>,3,0.01,0.08,0.14814814814814814,50,0.03200721740722656
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9467D0>,4,0.01,0.0,0.0,50,0.02700662612915039
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9472D0>,5,0.01,0.02,0.0392156862745098,50,0.026005983352661133
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947150>,6,0.01,0.3,0.4615384615384615,50,0.046010494232177734
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947450>,7,0.01,0.12,0.21428571428571425,50,0.037008047103881836
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947350>,8,0.01,0.22,0.36065573770491804,50,0.032007455825805664
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC8A9210>,9,0.01,0.32,0.48484848484848486,50,0.04600977897644043
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9477D0>,0,0.02,0.16,0.2758620689655173,50,0.06101417541503906
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947710>,1,0.02,0.04,0.07692307692307693,50,0.05701255798339844
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947410>,2,0.02,0.18,0.3050847457627119,50,0.060013771057128906
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9475D0>,3,0.02,0.02,0.0392156862745098,50,0.058013200759887695
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9476D0>,4,0.02,0.06,0.11320754716981131,50,0.04701042175292969
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9474D0>,5,0.02,0.02,0.0392156862745098,50,0.04701066017150879
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947590>,6,0.02,0.04,0.07692307692307693,50,0.060013771057128906
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947390>,7,0.02,0.2,0.33333333333333337,50,0.0600130558013916
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9478D0>,8,0.02,0.08,0.14814814814814814,50,0.05901360511779785
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947910>,9,0.02,0.2,0.33333333333333337,50,0.07701706886291504
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947650>,0,0.03,0.14,0.24561403508771928,50,0.0870199203491211
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947990>,1,0.03,0.16,0.2758620689655173,50,0.09402132034301758
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9479D0>,2,0.03,0.16,0.2758620689655173,50,0.11302518844604492
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947A50>,3,0.03,0.02,0.0392156862745098,50,0.09102082252502441
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947B10>,4,0.03,0.14,0.24561403508771928,50,0.10502338409423828
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947D50>,5,0.03,0.2,0.33333333333333337,50,0.10102295875549316
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947F10>,6,0.03,0.12,0.21428571428571425,50,0.09202075004577637
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC947F90>,7,0.03,0.06,0.11320754716981131,50,0.0890200138092041
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960050>,8,0.03,0.1,0.18181818181818182,50,0.08201885223388672
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9600D0>,9,0.03,0.04,0.07692307692307693,50,0.07901763916015625
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960450>,0,0.04,0.18,0.3050847457627119,50,0.11002516746520996
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960550>,1,0.04,0.14,0.24561403508771928,50,0.11702680587768555
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960750>,2,0.04,0.02,0.0392156862745098,50,0.10402393341064453
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960990>,3,0.04,0.18,0.3050847457627119,50,0.1400318145751953
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960AD0>,4,0.04,0.14,0.24561403508771928,50,0.13002943992614746
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960C10>,5,0.04,0.04,0.07692307692307693,50,0.10502338409423828
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960D50>,6,0.04,0.1,0.18181818181818182,50,0.10802483558654785
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960E90>,7,0.04,0.06,0.11320754716981131,50,0.1180264949798584
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960FD0>,8,0.04,0.04,0.07692307692307693,50,0.12102723121643066
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961110>,9,0.04,0.14,0.24561403508771928,50,0.11102533340454102
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960BD0>,0,0.05,0.1,0.18181818181818182,50,0.16803812980651855
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960E50>,1,0.05,0.1,0.18181818181818182,50,0.15703558921813965
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC960F90>,2,0.05,0.08,0.14814814814814814,50,0.16803812980651855
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9610D0>,3,0.05,0.08,0.14814814814814814,50,0.18204164505004883
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961210>,4,0.05,0.08,0.14814814814814814,50,0.17703986167907715
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961350>,5,0.05,0.18,0.3050847457627119,50,0.1780402660369873
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961610>,6,0.05,0.16,0.2758620689655173,50,0.16203641891479492
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961710>,7,0.05,0.1,0.18181818181818182,50,0.16203618049621582
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961810>,8,0.05,0.12,0.21428571428571425,50,0.1650376319885254
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961910>,9,0.05,0.14,0.24561403508771928,50,0.17303919792175293
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961AD0>,0,0.1,0.08,0.14814814814814814,50,0.32607388496398926
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961990>,1,0.1,0.16,0.2758620689655173,50,0.3250737190246582
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961F90>,2,0.1,0.06,0.11320754716981131,50,0.3270742893218994
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961ED0>,3,0.1,0.06,0.11320754716981131,50,0.30206847190856934
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961F50>,4,0.1,0.2,0.33333333333333337,50,0.32007288932800293
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9621D0>,5,0.1,0.1,0.18181818181818182,50,0.29906678199768066
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9622D0>,6,0.1,0.22,0.36065573770491804,50,0.3325798511505127
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962050>,7,0.1,0.04,0.07692307692307693,50,0.3270742893218994
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9624D0>,8,0.1,0.16,0.2758620689655173,50,0.2980673313140869
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC961D90>,9,0.1,0.16,0.2758620689655173,50,0.3270742893218994
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9623D0>,0,0.15,0.16,0.2758620689655173,50,0.5011141300201416
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9625D0>,1,0.15,0.22,0.36065573770491804,50,0.4941120147705078
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9628D0>,2,0.15,0.08,0.14814814814814814,50,0.46910619735717773
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9626D0>,3,0.15,0.18,0.3050847457627119,50,0.4741075038909912
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9629D0>,4,0.15,0.18,0.3050847457627119,50,0.47810840606689453
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9627D0>,5,0.15,0.16,0.2758620689655173,50,0.4991140365600586
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962CD0>,6,0.15,0.12,0.21428571428571425,50,0.5101161003112793
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962BD0>,7,0.15,0.1,0.18181818181818182,50,0.4681057929992676
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962AD0>,8,0.15,0.18,0.3050847457627119,50,0.47510790824890137
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962ED0>,9,0.15,0.16,0.2758620689655173,50,0.46410536766052246
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962DD0>,0,0.2,0.2,0.33333333333333337,50,0.6101384162902832
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC962FD0>,1,0.2,0.22,0.36065573770491804,50,0.6245875358581543
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9631D0>,2,0.2,0.14,0.24561403508771928,50,0.5911350250244141
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9633D0>,3,0.2,0.14,0.24561403508771928,50,0.6111388206481934
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9634D0>,4,0.2,0.16,0.2758620689655173,50,0.6031365394592285
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9632D0>,5,0.2,0.08,0.14814814814814814,50,0.6001362800598145
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9636D0>,6,0.2,0.22,0.36065573770491804,50,0.6521480083465576
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9637D0>,7,0.2,0.1,0.18181818181818182,50,0.5991361141204834
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9630D0>,8,0.2,0.18,0.3050847457627119,50,0.6111388206481934
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9639D0>,9,0.2,0.2,0.33333333333333337,50,0.5991365909576416
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9638D0>,0,0.25,0.14,0.24561403508771928,50,0.7091612815856934
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC9635D0>,1,0.25,0.16,0.2758620689655173,50,0.7351665496826172
<Algoritmos.LP_PUL.LP_PUL object at 0x00000240CC963CD0>,2,0.25,0.16,0.2758620689655173,50,0.7521705627441406
