Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x00000237C6002710>,0,0.01,0.5,0.6666666666666666,50,0.15503549575805664
<Algoritmos.PU_LP.PU_LP object at 0x00000237E0601210>,1,0.01,0.5,0.6666666666666666,50,0.12602853775024414
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2069150>,2,0.01,0.5,0.6666666666666666,50,0.12002730369567871
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2107090>,3,0.01,0.5,0.6666666666666666,50,0.11602640151977539
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2106F90>,4,0.01,0.5,0.6666666666666666,50,0.13202929496765137
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2107750>,5,0.01,0.5,0.6666666666666666,50,0.1180267333984375
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2106F50>,6,0.01,0.5,0.6666666666666666,50,0.12402796745300293
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2107910>,7,0.01,0.5,0.6666666666666666,50,0.12602901458740234
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2107A50>,8,0.01,0.5,0.6666666666666666,50,0.13403058052062988
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2106850>,9,0.01,0.5,0.6666666666666666,50,0.12002706527709961
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2107E10>,0,0.02,0.5,0.6666666666666666,50,0.11602663993835449
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2107810>,1,0.02,0.5,0.6666666666666666,50,0.11302614212036133
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2118350>,2,0.02,0.5,0.6666666666666666,50,0.12602877616882324
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2118590>,3,0.02,0.5,0.6666666666666666,50,0.1270296573638916
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2118450>,4,0.02,0.5,0.6666666666666666,50,0.12002706527709961
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2118290>,5,0.02,0.5,0.6666666666666666,50,0.11902666091918945
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2118FD0>,6,0.02,0.5,0.6666666666666666,50,0.12002730369567871
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2118510>,7,0.02,0.52,0.6842105263157895,50,0.12302756309509277
<Algoritmos.PU_LP.PU_LP object at 0x00000237E21181D0>,8,0.02,0.5,0.6666666666666666,50,0.11602592468261719
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2119750>,9,0.02,0.5,0.6666666666666666,50,0.11302614212036133
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2119850>,0,0.03,0.5,0.6666666666666666,50,0.12802934646606445
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2119CD0>,1,0.03,0.5,0.6666666666666666,50,0.13903141021728516
<Algoritmos.PU_LP.PU_LP object at 0x00000237E211A110>,2,0.03,0.5,0.6666666666666666,50,0.12002706527709961
<Algoritmos.PU_LP.PU_LP object at 0x00000237E2119C90>,3,0.03,0.5,0.6666666666666666,50,0.11702656745910645
