Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF5CB6E2D0>,0,0.01,0.5,0.6666666666666666,50,0.022005319595336914
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2788D0>,1,0.01,0.5,0.6666666666666666,50,0.01800394058227539
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B269150>,2,0.01,0.5,0.6666666666666666,50,0.021004676818847656
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2869D0>,3,0.01,0.5,0.6666666666666666,50,0.019004344940185547
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287010>,4,0.01,0.52,0.6842105263157895,50,0.018004655838012695
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287290>,5,0.01,0.5,0.6666666666666666,50,0.019003629684448242
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1970EB50>,6,0.01,0.5,0.6666666666666666,50,0.01700425148010254
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287310>,7,0.01,0.5,0.6666666666666666,50,0.017004013061523438
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B286890>,8,0.01,0.5,0.6666666666666666,50,0.022005319595336914
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2872D0>,9,0.01,0.5,0.6666666666666666,50,0.019004106521606445
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B286F10>,0,0.02,0.5,0.6666666666666666,50,0.016003847122192383
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287090>,1,0.02,0.5,0.6666666666666666,50,0.017003774642944336
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287450>,2,0.02,0.52,0.6842105263157895,50,0.01800394058227539
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287510>,3,0.02,0.5,0.6666666666666666,50,0.01700139045715332
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287410>,4,0.02,0.5,0.6666666666666666,50,0.016003847122192383
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287550>,5,0.02,0.5,0.6666666666666666,50,0.018004179000854492
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287590>,6,0.02,0.5,0.6666666666666666,50,0.019004344940185547
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287710>,7,0.02,0.5,0.6666666666666666,50,0.018004417419433594
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287750>,8,0.02,0.5,0.6666666666666666,50,0.01800370216369629
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2875D0>,9,0.02,0.5,0.6666666666666666,50,0.021004676818847656
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287210>,0,0.03,0.5,0.6666666666666666,50,0.017003536224365234
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287790>,1,0.03,0.5,0.6666666666666666,50,0.01800394058227539
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287890>,2,0.03,0.52,0.6842105263157895,50,0.018004417419433594
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287910>,3,0.03,0.5,0.6666666666666666,50,0.019004344940185547
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2879D0>,4,0.03,0.52,0.6842105263157895,50,0.01800370216369629
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287C10>,5,0.03,0.52,0.6842105263157895,50,0.01800394058227539
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287D90>,6,0.03,0.5,0.6666666666666666,50,0.017004013061523438
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2876D0>,7,0.03,0.52,0.6842105263157895,50,0.01700448989868164
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B287B50>,8,0.03,0.5,0.6666666666666666,50,0.01900458335876465
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0210>,9,0.03,0.52,0.6842105263157895,50,0.01900458335876465
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0050>,0,0.04,0.5,0.6666666666666666,50,0.01600360870361328
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0510>,1,0.04,0.5,0.6666666666666666,50,0.01600360870361328
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A05D0>,2,0.04,0.52,0.6842105263157895,50,0.019004106521606445
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0090>,3,0.04,0.5,0.6666666666666666,50,0.01800370216369629
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0490>,4,0.04,0.5,0.6666666666666666,50,0.016004323959350586
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A03D0>,5,0.04,0.54,0.7012987012987013,50,0.016003131866455078
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0610>,6,0.04,0.52,0.6842105263157895,50,0.01600337028503418
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0750>,7,0.04,0.52,0.6842105263157895,50,0.0200045108795166
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0850>,8,0.04,0.52,0.6842105263157895,50,0.017003774642944336
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0950>,9,0.04,0.5,0.6666666666666666,50,0.02200484275817871
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0990>,0,0.05,0.52,0.6842105263157895,50,0.022005319595336914
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0A90>,1,0.05,0.52,0.6842105263157895,50,0.019003868103027344
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0B90>,2,0.05,0.52,0.6842105263157895,50,0.017003774642944336
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0C90>,3,0.05,0.5,0.6666666666666666,50,0.01700425148010254
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0D90>,4,0.05,0.54,0.7012987012987013,50,0.019004106521606445
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0E90>,5,0.05,0.5,0.6666666666666666,50,0.018004179000854492
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A0F90>,6,0.05,0.52,0.6842105263157895,50,0.017003774642944336
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x000001EF1B2A10D0>,7,0.05,0.5,0.6666666666666666,50,0.0200042724609375
