Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.CCRNE.CCRNE object at 0x00000202C01A95D0>,0,0.01,0.675,0.8059701492537313,200,0.06601405143737793
<Algoritmos.CCRNE.CCRNE object at 0x00000202C235AED0>,1,0.01,0.74,0.8505747126436781,200,0.06801509857177734
<Algoritmos.CCRNE.CCRNE object at 0x00000202C235B5D0>,2,0.01,0.67,0.8023952095808384,200,0.05101180076599121
<Algoritmos.CCRNE.CCRNE object at 0x00000202C235BCD0>,3,0.01,0.725,0.8405797101449275,200,0.05701303482055664
<Algoritmos.CCRNE.CCRNE object at 0x0000020283C74F50>,4,0.01,0.675,0.8059701492537313,200,0.05101156234741211
<Algoritmos.CCRNE.CCRNE object at 0x00000202C230A0D0>,5,0.01,0.69,0.8165680473372781,200,0.056012630462646484
<Algoritmos.CCRNE.CCRNE object at 0x00000202C23090D0>,6,0.01,0.655,0.7915407854984895,200,0.05001115798950195
<Algoritmos.CCRNE.CCRNE object at 0x00000202C2308910>,7,0.01,0.7,0.8235294117647058,200,0.06601476669311523
<Algoritmos.CCRNE.CCRNE object at 0x00000202C23096D0>,8,0.01,0.655,0.7915407854984895,200,0.06801509857177734
<Algoritmos.CCRNE.CCRNE object at 0x00000202C230A9D0>,9,0.01,0.705,0.8269794721407624,200,0.06101346015930176
<Algoritmos.CCRNE.CCRNE object at 0x00000202C36980D0>,0,0.02,0.68,0.8095238095238095,200,0.04601097106933594
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3698390>,1,0.02,0.68,0.8095238095238095,200,0.048011064529418945
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3698410>,2,0.02,0.695,0.8200589970501475,200,0.0490107536315918
<Algoritmos.CCRNE.CCRNE object at 0x00000202C36987D0>,3,0.02,0.69,0.8165680473372781,200,0.05901360511779785
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3698A10>,4,0.02,0.66,0.7951807228915663,200,0.05001115798950195
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3698C90>,5,0.02,0.705,0.8269794721407624,200,0.04701042175292969
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3698E90>,6,0.02,0.71,0.8304093567251462,200,0.050011634826660156
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699090>,7,0.02,0.69,0.8165680473372781,200,0.04901003837585449
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699250>,8,0.02,0.675,0.8059701492537313,200,0.04801154136657715
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699410>,9,0.02,0.655,0.7915407854984895,200,0.048010826110839844
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699610>,0,0.03,0.715,0.8338192419825073,200,0.046010494232177734
<Algoritmos.CCRNE.CCRNE object at 0x00000202C36997D0>,1,0.03,0.705,0.8269794721407624,200,0.05301213264465332
<Algoritmos.CCRNE.CCRNE object at 0x00000202C36999D0>,2,0.03,0.7,0.8235294117647058,200,0.04901123046875
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699BD0>,3,0.03,0.69,0.8165680473372781,200,0.059014081954956055
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699E90>,4,0.03,0.725,0.8405797101449275,200,0.05301165580749512
<Algoritmos.CCRNE.CCRNE object at 0x00000202C3699F90>,5,0.03,0.655,0.7915407854984895,200,0.05001115798950195
<Algoritmos.CCRNE.CCRNE object at 0x00000202C369A090>,6,0.03,0.67,0.8023952095808384,200,0.0490107536315918
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EC850>,7,0.03,0.715,0.8338192419825073,200,0.052011728286743164
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EC990>,8,0.03,0.69,0.8165680473372781,200,0.04701066017150879
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ECB90>,9,0.03,0.675,0.8059701492537313,200,0.0490109920501709
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ECD90>,0,0.04,0.71,0.8304093567251462,200,0.053011417388916016
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ECF90>,1,0.04,0.765,0.8668555240793201,200,0.06501507759094238
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ED1D0>,2,0.04,0.7,0.8235294117647058,200,0.057012319564819336
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ED450>,3,0.04,0.675,0.8059701492537313,200,0.0600132942199707
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ED610>,4,0.04,0.7,0.8235294117647058,200,0.050011396408081055
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38ED810>,5,0.04,0.665,0.7987987987987988,200,0.054012298583984375
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EDA10>,6,0.04,0.7,0.8235294117647058,200,0.056012630462646484
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EDC10>,7,0.04,0.67,0.8023952095808384,200,0.06401515007019043
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EDE10>,8,0.04,0.685,0.8130563798219584,200,0.05001044273376465
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EE010>,9,0.04,0.67,0.8023952095808384,200,0.05301213264465332
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EE210>,0,0.05,0.695,0.8200589970501475,200,0.05401253700256348
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EE3D0>,1,0.05,0.695,0.8200589970501475,200,0.06701517105102539
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EE590>,2,0.05,0.73,0.8439306358381503,200,0.05501270294189453
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EE7D0>,3,0.05,0.7,0.8235294117647058,200,0.05901336669921875
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EE9D0>,4,0.05,0.72,0.8372093023255813,200,0.07001614570617676
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EEB90>,5,0.05,0.68,0.8095238095238095,200,0.05701279640197754
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EEE10>,6,0.05,0.69,0.8165680473372781,200,0.05501246452331543
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EF010>,7,0.05,0.695,0.8200589970501475,200,0.05601358413696289
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EF1D0>,8,0.05,0.725,0.8405797101449275,200,0.05401206016540527
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EF390>,9,0.05,0.655,0.7915407854984895,200,0.05101156234741211
<Algoritmos.CCRNE.CCRNE object at 0x00000202C38EF590>,0,0.1,0.715,0.8338192419825073,200,0.05701327323913574
