Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.MCLS.MCLS object at 0x7f3d9703df60>,0,0.01,0.725,0.8405797101449275,200,1.8195698261260986
<Algoritmos.MCLS.MCLS object at 0x7f3d9703df30>,1,0.01,0.63,0.7730061349693252,200,1.5232949256896973
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f310>,2,0.01,0.73,0.8439306358381503,200,1.521043062210083
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f370>,3,0.01,0.745,0.8538681948424068,200,1.5679333209991455
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f400>,4,0.01,0.685,0.8130563798219584,200,1.5696394443511963
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f4c0>,5,0.01,0.7522935779816514,0.8586387434554975,109,1.649285078048706
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f550>,6,0.01,0.715,0.8338192419825073,200,1.7245986461639404
<Algoritmos.MCLS.MCLS object at 0x7f3d9703e2f0>,7,0.01,0.7,0.8235294117647058,200,1.7198660373687744
<Algoritmos.MCLS.MCLS object at 0x7f3d9703ea40>,8,0.01,0.705,0.8269794721407624,200,1.6928303241729736
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f730>,9,0.01,0.68,0.8095238095238095,200,1.7041823863983154
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f7c0>,0,0.02,0.7,0.8235294117647058,200,1.603832483291626
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f820>,1,0.02,0.72,0.8372093023255813,200,1.9147047996520996
<Algoritmos.MCLS.MCLS object at 0x7f3d9703dae0>,2,0.02,0.675,0.8059701492537313,200,2.0441200733184814
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f880>,3,0.02,0.665,0.7987987987987988,200,2.6935834884643555
<Algoritmos.MCLS.MCLS object at 0x7f3d9703db70>,4,0.02,0.715,0.8338192419825073,200,2.11482572555542
<Algoritmos.MCLS.MCLS object at 0x7f3d9703dd20>,5,0.02,0.675,0.8059701492537313,200,1.8631303310394287
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f910>,6,0.02,0.725,0.8405797101449275,200,1.9917254447937012
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f970>,7,0.02,0.66,0.7951807228915663,200,1.6376745700836182
<Algoritmos.MCLS.MCLS object at 0x7f3d9703ff70>,8,0.02,0.78,0.8764044943820225,200,1.6955232620239258
<Algoritmos.MCLS.MCLS object at 0x7f3d9703ffd0>,9,0.02,0.735,0.8472622478386168,200,1.7267205715179443
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f760>,0,0.03,0.71,0.8304093567251462,200,1.6082816123962402
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f8b0>,1,0.03,0.685,0.8130563798219584,200,1.7460911273956299
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f850>,2,0.03,0.69,0.8165680473372781,200,1.6510214805603027
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f0d0>,3,0.03,0.7,0.8235294117647058,200,1.6257452964782715
<Algoritmos.MCLS.MCLS object at 0x7f3d9703ff40>,4,0.03,0.7,0.8235294117647058,200,1.684420108795166
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f8e0>,5,0.03,0.595,0.7460815047021944,200,1.621596097946167
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f130>,6,0.03,0.61,0.7577639751552795,200,1.512087106704712
<Algoritmos.MCLS.MCLS object at 0x7f3d9703f250>,7,0.03,0.74,0.8505747126436781,200,1.690180778503418
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fdc0>,8,0.03,0.72,0.8372093023255813,200,1.6069624423980713
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fd60>,9,0.03,0.74,0.8505747126436781,200,1.6094465255737305
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fcd0>,0,0.04,0.695,0.8200589970501475,200,1.5180811882019043
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fdf0>,1,0.04,0.655,0.7915407854984895,200,1.5280582904815674
<Algoritmos.MCLS.MCLS object at 0x7f3d9703ffa0>,2,0.04,0.775,0.8732394366197184,200,1.6612536907196045
<Algoritmos.MCLS.MCLS object at 0x7f3d9703feb0>,3,0.04,0.72,0.8372093023255813,200,1.5951533317565918
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fd90>,4,0.04,0.7,0.8235294117647058,200,1.64229416847229
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fee0>,5,0.04,0.685,0.8130563798219584,200,1.5487542152404785
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fa90>,6,0.04,0.715,0.8338192419825073,200,1.6604969501495361
<Algoritmos.MCLS.MCLS object at 0x7f3d9703e8f0>,7,0.04,0.725,0.8405797101449275,200,1.636707067489624
<Algoritmos.MCLS.MCLS object at 0x7f3d9703e890>,8,0.04,0.745,0.8538681948424068,200,1.5937912464141846
<Algoritmos.MCLS.MCLS object at 0x7f3d9703fbe0>,9,0.04,0.695,0.8200589970501475,200,1.6741559505462646
