Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11942190>,0,0.01,0.69,0.8165680473372781,200,2.4945638179779053
<Algoritmos.PU_LP.PU_LP object at 0x0000020F118F9A10>,1,0.01,0.69,0.8165680473372781,200,2.366534948348999
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C25910>,2,0.01,0.69,0.8165680473372781,200,2.3765370845794678
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26090>,3,0.01,0.69,0.8165680473372781,200,2.4695582389831543
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26550>,4,0.01,0.69,0.8165680473372781,200,2.389540433883667
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26E50>,5,0.01,0.69,0.8165680473372781,200,2.45355486869812
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26B50>,6,0.01,0.69,0.8165680473372781,200,2.3845391273498535
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26D90>,7,0.01,0.69,0.8165680473372781,200,2.504565715789795
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C27110>,8,0.01,0.69,0.8165680473372781,200,2.419546604156494
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26C50>,9,0.01,0.69,0.8165680473372781,200,2.5075666904449463
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C27490>,0,0.02,0.69,0.8165680473372781,200,2.377537488937378
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26CD0>,1,0.02,0.695,0.8200589970501475,200,2.352531909942627
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C279D0>,2,0.02,0.69,0.8165680473372781,200,2.4365506172180176
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C26910>,3,0.02,0.7,0.8235294117647058,200,2.601588487625122
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C27610>,4,0.02,0.69,0.8165680473372781,200,2.427548885345459
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C27C90>,5,0.02,0.69,0.8165680473372781,200,2.366534948348999
<Algoritmos.PU_LP.PU_LP object at 0x0000020F118F87D0>,6,0.02,0.69,0.8165680473372781,200,2.3475308418273926
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C300D0>,7,0.02,0.695,0.8200589970501475,200,2.4345502853393555
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C30CD0>,8,0.02,0.695,0.8200589970501475,200,2.433549642562866
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31110>,9,0.02,0.695,0.8200589970501475,200,2.398542642593384
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C30AD0>,0,0.03,0.69,0.8165680473372781,200,2.3835387229919434
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C314D0>,1,0.03,0.69,0.8165680473372781,200,2.377537488937378
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C311D0>,2,0.03,0.69,0.8165680473372781,200,2.364534854888916
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31210>,3,0.03,0.69,0.8165680473372781,200,2.3505313396453857
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31D10>,4,0.03,0.69,0.8165680473372781,200,2.377537488937378
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31790>,5,0.03,0.695,0.8200589970501475,200,2.3945415019989014
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31E90>,6,0.03,0.69,0.8165680473372781,200,2.393540859222412
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31350>,7,0.03,0.69,0.8165680473372781,200,2.377537488937378
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C32350>,8,0.03,0.7,0.8235294117647058,200,2.33052659034729
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31590>,9,0.03,0.69,0.8165680473372781,200,2.3515312671661377
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31F50>,0,0.04,0.69,0.8165680473372781,200,2.339529275894165
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C325D0>,1,0.04,0.7,0.8235294117647058,200,2.3525314331054688
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12EDAD50>,2,0.04,0.695,0.8200589970501475,200,2.325525999069214
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C33090>,3,0.04,0.695,0.8200589970501475,200,2.380537986755371
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C326D0>,4,0.04,0.7,0.8235294117647058,200,2.369535446166992
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C32FD0>,5,0.04,0.7,0.8235294117647058,200,2.34152889251709
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C33490>,6,0.04,0.695,0.8200589970501475,200,2.3325273990631104
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C33450>,7,0.04,0.7,0.8235294117647058,200,2.3975422382354736
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C33810>,8,0.04,0.695,0.8200589970501475,200,2.3275258541107178
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C33790>,9,0.04,0.695,0.8200589970501475,200,2.3845393657684326
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C31B90>,0,0.05,0.7,0.8235294117647058,200,2.339529037475586
<Algoritmos.PU_LP.PU_LP object at 0x0000020F12C33BD0>,1,0.05,0.7,0.8235294117647058,200,2.337528705596924
<Algoritmos.PU_LP.PU_LP object at 0x0000020F119546D0>,2,0.05,0.705,0.8269794721407624,200,2.341529369354248
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11954A10>,3,0.05,0.695,0.8200589970501475,200,2.3615338802337646
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11954910>,4,0.05,0.695,0.8200589970501475,200,2.353531837463379
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11954ED0>,5,0.05,0.7,0.8235294117647058,200,2.3535315990448
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11954850>,6,0.05,0.69,0.8165680473372781,200,2.364534854888916
<Algoritmos.PU_LP.PU_LP object at 0x0000020F119553D0>,7,0.05,0.695,0.8200589970501475,200,2.366535186767578
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955690>,8,0.05,0.71,0.8304093567251462,200,2.3765368461608887
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955350>,9,0.05,0.695,0.8200589970501475,200,2.3735361099243164
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955890>,0,0.1,0.7,0.8235294117647058,200,2.3705358505249023
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955B10>,1,0.1,0.71,0.8304093567251462,200,2.364534616470337
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955B50>,2,0.1,0.705,0.8269794721407624,200,2.3505311012268066
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955E50>,3,0.1,0.695,0.8200589970501475,200,2.3585333824157715
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955F90>,4,0.1,0.735,0.8472622478386168,200,2.3405299186706543
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11955CD0>,5,0.1,0.7,0.8235294117647058,200,2.340528726577759
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11956450>,6,0.1,0.7,0.8235294117647058,200,2.3555328845977783
<Algoritmos.PU_LP.PU_LP object at 0x0000020F119566D0>,7,0.1,0.71,0.8304093567251462,200,2.32952618598938
<Algoritmos.PU_LP.PU_LP object at 0x0000020F119568D0>,8,0.1,0.7,0.8235294117647058,200,2.3385281562805176
<Algoritmos.PU_LP.PU_LP object at 0x0000020F11956C90>,9,0.1,0.715,0.8338192419825073,200,2.3255257606506348
