Algoritmo,Iteração,Rate,acc,f1,RN len,tempo de execução
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796C22290>,0,0.01,0.685,0.8130563798219584,200,0.09002065658569336
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796C23150>,1,0.01,0.685,0.8130563798219584,200,0.08601975440979004
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796C23750>,2,0.01,0.68,0.8095238095238095,200,0.09202075004577637
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796C23DD0>,3,0.01,0.68,0.8095238095238095,200,0.08501887321472168
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x00000297D84C4C90>,4,0.01,0.685,0.8130563798219584,200,0.09202051162719727
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BCFD50>,5,0.01,0.685,0.8130563798219584,200,0.09102010726928711
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BCDF50>,6,0.01,0.68,0.8095238095238095,200,0.09602117538452148
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BCD3D0>,7,0.01,0.69,0.8165680473372781,200,0.08802008628845215
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796C23F10>,8,0.01,0.69,0.8165680473372781,200,0.089019775390625
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029795AF6610>,9,0.01,0.685,0.8130563798219584,200,0.08301901817321777
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BCF1D0>,0,0.02,0.69,0.8165680473372781,200,0.08701920509338379
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BCFCD0>,1,0.02,0.68,0.8095238095238095,200,0.08802032470703125
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BA3210>,2,0.02,0.68,0.8095238095238095,200,0.08501935005187988
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BDA310>,3,0.02,0.685,0.8130563798219584,200,0.08601927757263184
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BD9150>,4,0.02,0.69,0.8165680473372781,200,0.09502148628234863
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BD8F90>,5,0.02,0.695,0.8200589970501475,200,0.08501863479614258
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BDA110>,6,0.02,0.695,0.8200589970501475,200,0.08501911163330078
<Algoritmos.RCSVM_RN.RCSVM_RN object at 0x0000029796BD8E90>,7,0.02,0.68,0.8095238095238095,200,0.09502172470092773
