,k,acc,f1
0,1,0.87,0.9305
1,2,0.88,0.9362
2,3,0.87,0.9305
3,4,0.87,0.9305
4,5,0.87,0.9305
5,6,0.87,0.9305
6,7,0.86,0.9247
7,8,0.9,0.9474
8,9,0.86,0.9247
9,10,0.89,0.9418
10,11,0.88,0.9362
11,12,0.87,0.9305
12,13,0.87,0.9305
13,14,0.87,0.9305
14,15,0.85,0.9189
15,16,0.9,0.9474
16,17,0.88,0.9362
17,18,0.89,0.9418
18,19,0.89,0.9418
19,1,0.88,0.9362
20,2,0.86,0.9247
21,3,0.84,0.913
22,4,0.86,0.9247
23,5,0.86,0.9247
24,6,0.89,0.9418
25,7,0.87,0.9305
26,8,0.89,0.9418
27,9,0.88,0.9362
28,10,0.85,0.9189
29,11,0.88,0.9362
30,12,0.88,0.9362
31,13,0.87,0.9305
32,14,0.87,0.9305
33,15,0.87,0.9305
34,16,0.88,0.9362
35,17,0.87,0.9305
36,18,0.88,0.9362
37,19,0.88,0.9362
38,1,0.86,0.9247
39,2,0.87,0.9305
40,3,0.88,0.9362
41,4,0.86,0.9247
42,5,0.86,0.9247
43,6,0.86,0.9247
44,7,0.87,0.9305
45,8,0.88,0.9362
46,9,0.87,0.9305
47,10,0.88,0.9362
48,11,0.88,0.9362
49,12,0.87,0.9305
50,13,0.87,0.9305
51,14,0.86,0.9247
52,15,0.88,0.9362
53,16,0.88,0.9362
54,17,0.87,0.9305
55,18,0.87,0.9305
56,19,0.85,0.9189
57,1,0.88,0.9362
58,2,0.87,0.9305
59,3,0.89,0.9418
60,4,0.88,0.9362
61,5,0.89,0.9418
62,6,0.89,0.9418
63,7,0.88,0.9362
64,8,0.87,0.9305
65,9,0.85,0.9189
66,10,0.9,0.9474
67,11,0.86,0.9247
68,12,0.87,0.9305
69,13,0.89,0.9418
70,14,0.87,0.9305
71,15,0.88,0.9362
72,16,0.88,0.9362
73,17,0.88,0.9362
74,18,0.89,0.9418
75,19,0.86,0.9247
76,1,0.87,0.9305
77,2,0.89,0.9418
78,3,0.88,0.9362
79,4,0.89,0.9418
80,5,0.88,0.9362
81,6,0.88,0.9362
82,7,0.88,0.9362
83,8,0.89,0.9418
84,9,0.86,0.9247
85,10,0.89,0.9418
86,11,0.88,0.9362
87,12,0.88,0.9362
88,13,0.88,0.9362
89,14,0.87,0.9305
90,15,0.89,0.9418
91,16,0.9,0.9474
92,17,0.89,0.9418
93,18,0.88,0.9362
94,19,0.9,0.9474
