num_neg,acc_AE,f1_AE,acc_GAE1,f1_GAE1,acc_GAE2,f1_GAE2,acc_GAE3,f1_GAE3,acc_GAE4,f1_GAE4
1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
3,1.0,1.0,1.0,1.0,0.3333,0.5,0.3333,0.5,1.0,1.0
4,1.0,1.0,1.0,1.0,0.5,0.6667,0.5,0.6667,1.0,1.0
5,1.0,1.0,1.0,1.0,0.6,0.75,0.6,0.75,1.0,1.0
6,1.0,1.0,1.0,1.0,0.6667,0.8,0.6667,0.8,1.0,1.0
7,1.0,1.0,1.0,1.0,0.7143,0.8333,0.7143,0.8333,1.0,1.0
8,1.0,1.0,1.0,1.0,0.625,0.7692,0.625,0.7692,1.0,1.0
9,1.0,1.0,1.0,1.0,0.6667,0.8,0.6667,0.8,1.0,1.0
10,1.0,1.0,1.0,1.0,0.7,0.8235,0.7,0.8235,1.0,1.0
11,1.0,1.0,1.0,1.0,0.7273,0.8421,0.7273,0.8421,1.0,1.0
12,1.0,1.0,1.0,1.0,0.6667,0.8,0.6667,0.8,1.0,1.0
13,1.0,1.0,1.0,1.0,0.6154,0.7619,0.6154,0.7619,1.0,1.0
14,1.0,1.0,1.0,1.0,0.6429,0.7826,0.6429,0.7826,1.0,1.0
15,1.0,1.0,1.0,1.0,0.6667,0.8,0.6667,0.8,1.0,1.0
16,1.0,1.0,0.9375,0.9677,0.6875,0.8148,0.6875,0.8148,1.0,1.0
17,1.0,1.0,0.9412,0.9697,0.7059,0.8276,0.7059,0.8276,1.0,1.0
18,1.0,1.0,0.9444,0.9714,0.7222,0.8387,0.7222,0.8387,1.0,1.0
19,1.0,1.0,0.9474,0.973,0.7368,0.8485,0.7368,0.8485,1.0,1.0
20,1.0,1.0,0.95,0.9744,0.75,0.8571,0.75,0.8571,0.95,0.9744
21,1.0,1.0,0.9524,0.9756,0.7619,0.8649,0.7619,0.8649,0.9524,0.9756
